Gene,Chr,LD4,LD5,LD6,M,YR,ET,MT,LT,ES,S,LS,GD4,GD6,GD10F,GD10M,MIS,MFS,Haplo,ManualScore,TargetID
PF3D7_0705500,chr7,33087.23,13296.455,21473.633,119340.4736,106884.05,60225.154,19533.995,60553.334,93202.155,94198.933,104356.546,48658.018,40203.485,23297.837,63571.924,0.137,-2.894,1612,351.8084577,tr|J3KQV8|J3KQV8_HUMAN
PF3D7_0705600,chr7,6589.453,17874.365,11644.484,2803.1369,3611.659,5110.713,13065.505,13027.299,7543.527,4394.733,2994.678,8841.228,4416.419,4308.324,280.226,0.181,-2.822,602,335.6890459,sp|O15523|DDX3Y_HUMAN
PF3D7_0705700,chr7,274827.771,232925.833,304475.263,94191.36315,473473.441,606818.449,442021.638,270788.178,178065.371,101176.957,100527.991,14348.811,32902.387,14740.785,37212.1717,0.178,-3.462,3,5740.75,sp|P62273|RS29_HUMAN
PF3D7_0705800,chr7,221866.266,136893.964,233167.811,3961.43665,1261.953,1424.644,7866.772,8013.393,8093.959,4204.823,5113.07,113886.107,95896.478,175779.798,32056.0855,0.183,-2.508,63,1502.575648,tr|I3L0A1|I3L0A1_HUMAN
PF3D7_0705900,chr7,105271.68,161184.862,211438.463,28196.02655,13477.61,17101.168,61185.484,113239.546,90926.638,45410.683,50159.155,80616.353,100616.538,103524.727,17700.4707,0.135,-3.391,36,1445.768675,sp|P05496|AT5G1_HUMAN
PF3D7_0706000,chr7,94015.18,59896.699,73332.698,57574.0109,107813.321,78906.964,70422.692,74245.691,72913.509,64435.545,54326.62,66091.996,50386.487,29093.58,77794.937,0.128,-3.11,128,1106.61074,sp|O95373|IPO7_HUMAN
PF3D7_0706100,chr7,4175.728,10279.8,15750.608,9433.73,1610.651,2378.303,7593.312,15175.726,15988.308,12110.961,14472.702,5570.781,5607.536,7565.012,3698.6574,0.458,-3.262,556,0,
PF3D7_0706200,chr7,73516.967,84742.995,115331.275,2212.8304,611.597,2426.375,14219.174,15118.376,6132.764,3162.141,3367.11,3041.702,744.572,3465.901,946.8042,0.28,-2.66,43,0,
PF3D7_0706300,chr7,0,1116.192,2632.378,72551.8117,22960.891,16882.023,10718.532,6597.514,19983.385,30388.815,78408.341,18741.372,22745.468,9448.821,28186.7238,1,0,65,0,
PF3D7_0706400,chr7,168536.154,115248.223,120344.603,39570.2639,198496.897,297216.046,253151.658,159933.852,62016.648,45284.651,35425.047,21794.517,26083.833,17351.803,47421.2129,0.125,-2.837,9,5869.593478,sp|P61927|RL37_HUMAN
PF3D7_0706500,chr7,40217.684,42828.146,38436.532,124360.8962,160226.37,136023.572,100715.242,76804.035,74151.756,90866.127,65176.302,127736.289,104716.692,71774.869,40271.6857,1,-1.314,1070,0,
PF3D7_0706600,chr7,27780.956,61079.089,25735.389,1098.66815,369.063,2992.081,9087.103,2586.934,1422.478,927.901,1442.578,8936.766,12198.596,5117.888,7137.4977,0.154,-2.768,490,0,
PF3D7_0706700,chr7,877.799,938.632,2005.833,12502.7101,11080.484,4495.514,6614.383,7094.564,28388.179,10129.099,17454.075,32856.663,37506.17,33889.58,234062.5726,1,-2.444,299,3012.583734,tr|A0A2R8Y713|A0A2R8Y713_HUMAN
PF3D7_0707200,chr7,3771.635,6314.25,9615.416,7486.59275,993.807,1289.336,6707.122,16308.877,21957.527,19492.211,14518.803,15152.465,18677.017,16640.248,63337.3143,0.141,-2.883,1202,0,
PF3D7_0707300,chr7,1073.776,903.032,829.968,460505.4863,44284.023,7588.59,2156.257,168732.808,563335.405,913839.142,894340.124,1987.701,4089.128,3648.816,226.6372,1,-1.474,642,0,
PF3D7_0707400,chr7,22410.981,33254.418,37081.691,22303.66205,23745.747,81762.396,96575.1,56313.692,38361.48,28225.758,25250.775,16142.961,16920.959,29032.585,21494.7393,0.13,-3.204,108,2549.005128,sp|Q5T9A4|ATD3B_HUMAN
PF3D7_0707420,chr7,6630.289,8938.618,22705.093,,,,,,,,,,,,,,,1,0,
PF3D7_0707500,chr7,849.113,1244.293,1795.943,40035.92425,20991.143,6040.822,5442.423,3719.776,3894.555,5908.752,26460.387,1353.799,1066.976,1525.834,4364.2576,0.143,-3.22,1196,0,
PF3D7_0707600,chr7,3771.656,16039.835,17716.942,51951.03835,42257.986,31501.906,18765.52,26468.058,28598.426,20859.066,30932.476,17970.795,24192.769,19002.804,15585.6834,0.876,-2.852,73,0,
PF3D7_0707700,chr7,20753.26,36555.265,48765.832,71175.0766,58463.786,68786.281,64890.061,62316.894,62367.55,74634.619,87493.206,114718.819,101729.024,61631.685,92234.2455,0.998,-2.479,241,967.7322581,sp|Q9UNE7|CHIP_HUMAN
PF3D7_0707800,chr7,8518.653,13039.465,15311.185,10620.75885,2538.468,5439.787,18772.62,39352.908,47766.265,26114.825,17956.694,12056.883,9351.663,8445.726,9593.6619,0.128,-2.912,426,0,
PF3D7_0707900,chr7,64288.815,110681.215,102892.711,51956.42595,119271.685,116331.718,104644.217,82000.22,60715.569,58878.531,44202.315,25100.731,33098.434,41344.005,42606.1896,0.123,-3.278,51,6216.208494,sp|O95478|NSA2_HUMAN
PF3D7_0708000,chr7,59817.867,38041.445,30953.202,9708.74545,4007.646,14524.727,32188.792,30477.403,30622.266,18737.799,14204.461,166255.38,155044.111,119829.181,147000.8669,0.132,-2.842,252,852.5264977,sp|Q5QJ74|TBCEL_HUMAN
PF3D7_0708100,chr7,43747.615,49249.007,62790.245,21912.40865,56210.253,68440.96,64323.044,49533.646,42025.032,28615.942,27346.115,115278.429,132834.248,118867.666,53481.3606,0.126,0,6,5362.330435,sp|P62875|RPAB5_HUMAN
PF3D7_0708200,chr7,0,1623.27,1929.08,6288.51575,1380.008,1242.447,1740.202,2157.112,12806.12,9783.557,8419.947,8034.443,6443.303,1880.525,20743.1277,1,-0.954,623,0,
PF3D7_0708300,chr7,34627.244,25745.578,17484.429,16257.5619,41465.609,39177.667,31254.178,24433.862,32701.846,22503.161,23281.611,21215.062,6785.072,8421.277,131269.497,0.91,-3.11,68,3406.079476,sp|Q96S44|PRPK_HUMAN
PF3D7_0708400,chr7,1275244.576,1981461.788,1202705.635,1295254.543,1077936.978,1897260.188,2891185.224,1670318.454,1380242.839,1226449.943,866546.981,590872.334,392287.857,189569.12,538417.8536,0.236,-2.653,98,4080.54,sp|P07900|HS90A_HUMAN
PF3D7_0708500,chr7,40339.459,22545.483,26703.142,41216.6432,44550.307,57262.182,49643.892,56818.648,86354.554,104118.411,36645.118,10726.509,20893.572,21370.488,76587.7043,0.986,-2.169,466,734.6546053,sp|Q5M9Q1|NKAPL_HUMAN
PF3D7_0708600,chr7,0,653.796,2703.656,4758.821,3110.041,2280.803,3901.569,9065.254,8566.439,8066.122,4526.432,102075.38,132489.38,207054.726,2713.0399,0.508,-1.222,68,0,
PF3D7_0708700,chr7,1059604.705,1052121.983,1302344.971,44927.97965,14657.059,10424.754,31051.94,87022.57,115105.02,92296.009,70885.957,98137.295,105223.185,82833.488,6867.9946,0.994,-2.415,52,0,
PF3D7_0708800,chr7,169674.457,285838.32,194076.818,116870.2588,365809.182,378322.087,482820.528,316103.977,204187.049,184784.952,106518.392,37176.588,35588.932,28877.253,3996.0891,0.14,-2.848,106,2726.190493,sp|P34932|HSP74_HUMAN
PF3D7_0708900,chr7,68907.404,46585.861,63199.12,13797.98375,35138.64,11483.961,11726.247,21906.163,25583.253,16141.551,15223.324,12444.306,25819.408,18937.499,99831.0561,0.134,-2.979,109,2902.182965,sp|O75880|SCO1_HUMAN
PF3D7_0709000,chr7,0,2582.678,2495.737,74282.74655,150743.768,114251.767,99128.492,53327.535,38727.427,27322.879,35690.999,36600.188,37344.46,33992.706,68208.6754,0.127,-3.025,128,0,
PF3D7_0709050,,58953.1,84775.721,191676.295,,,,,,,,,,,,,,,,0,
PF3D7_0709100,chr7,80243.294,69055.315,70564.317,29827.6338,4905.118,5779.277,41488.485,107573.527,108151.959,76733.954,50998.712,35920.632,56176.819,66470.508,59469.0373,1,-1.804,860,360.5759615,tr|A0A0G2JRT1|A0A0G2JRT1_HUMAN
PF3D7_0709200,chr7,71170.615,20569.127,27550.939,11297.07635,8225.296,11934.399,17125.895,35286.086,35941.651,21377.993,16931.287,23494.737,21342.844,41466.997,1131.9137,0.973,-2.836,105,1397.0625,sp|Q86SX6|GLRX5_HUMAN
PF3D7_0709300,chr7,14871.685,20668.82,26502.945,2526.33685,13217.759,14268.618,11858.932,12326.551,7982.634,5633.584,4535.756,18434.717,16207.918,11490.767,29786.8915,0.141,-2.91,613,0,
PF3D7_0709400,chr7,225561.684,287485.754,260736.434,6632.8717,828.697,2093.917,14460.054,30535.62,31644.859,22360.302,13905.631,11733.244,10746.979,10167.859,16426.1482,0.741,-3.019,686,0,
PF3D7_0709500,chr7,96129.322,76751.934,99135.179,5868.37905,1451.959,4861.967,21336.267,28086.896,26278.659,16065.194,11462.495,19284.048,11515.346,9217.816,2719.1366,0.126,-2.926,29,0,
PF3D7_0709600,chr7,10982.014,11773.879,15490.518,11115.11605,45306.338,37563.783,33683.423,24345.624,21324.143,17335.91,11366.404,6078.144,4973.837,1558.044,1627.8239,0.123,-3.036,1014,501.7331315,sp|Q99575|POP1_HUMAN
PF3D7_0709700,chr7,19580.694,28456.602,42258.565,30813.37565,34832.762,20523.58,23534.238,78272.429,89879.893,65378.947,62817.635,256699.064,426396.713,537299.915,71096.9727,0.913,-2.961,66,0,
PF3D7_0709800,chr7,1843.518,10366.322,11540.357,13656.203,9111.773,5136.773,7455.717,17432.468,25122.838,15598.227,20111.245,19054.49,20967.982,30373.282,6302.1655,0.331,-2.348,13,0,
PF3D7_0709900,chr7,29921.413,20893.86,22616.994,14316.5483,920.24,402.704,1382.401,10207.848,31225.448,26905.52,19144.197,17377.746,29036.202,43100.357,32890.9344,1,-1.214,1104,0,
PF3D7_0710000,chr7,15783.781,2430.274,6538.293,3405.3504,1927.975,1915.435,3355.106,11419.446,13114.968,9775.485,6694.492,16220.342,16452.541,9238.06,79080.915,0.119,-3.068,3619,0,
PF3D7_0710100,chr7,15770.82,20751.752,33014.261,12405.70775,51220.881,27286.932,30435.953,31518.691,28493.083,21229.827,19080.38,9202.588,5832.177,7608.148,29837.4654,0.12,-3.097,241,0,
PF3D7_0710200,chr7,68114.04,52877.851,72868.858,31864.3904,4426.901,9552.465,33851.329,72022.615,114362.93,116210.422,44178.774,5453.056,4617.8,7711.411,11908.6618,0.153,-2.841,57,175.2601031,tr|F8WB16|F8WB16_HUMAN
PF3D7_0710300,chr7,25838.946,126222.141,159877.606,7719.01215,11157.013,42184.85,55205.328,41186.365,24503.892,13743.923,12289.858,10876.056,6771.705,9107.734,71722.4331,0.146,-3.538,38,0,
PF3D7_0710400,chr7,25786.051,40988.037,58128.714,7759.33865,12791.18,29383.286,25755.489,19697.732,32560.858,16392.03,14994.695,22860.362,23124.004,16524.491,747.8466,0.155,-2.88,274,0,
PF3D7_0710500,chr7,86296.094,28401.844,36952.483,10716.83335,3505.699,9158.541,46826.129,37494.055,29730.536,15343.514,15568.9,18540.77,23176.226,35722.69,2021.1845,0.125,-3.156,69,0,
PF3D7_0710600,chr7,298331.699,313506.878,311281.431,79087.19515,428618.363,636779.305,490872.317,305226.828,158549.237,95058.663,74394.473,26937.387,28237.412,23828.529,34031.6939,0.142,-2.729,31,3800.005333,sp|P49207|RL34_HUMAN
PF3D7_0710700,chr7,16432.146,43223.567,27255.546,34057.5212,131101.386,115790.648,78536.711,48317.952,41682.318,40579.461,24341.83,2873.482,4645.645,6316.014,369.5833,0.121,-2.861,136,0,
PF3D7_0710800,chr7,12908.275,114383.687,195078.867,15362.266,32399.566,30255.469,33148.677,46276.159,61135.33,37721.899,29444.557,6782.591,13257.375,10660.563,0,0.986,-2.716,179,0,
PF3D7_0710900,chr7,17577.96,122514.081,144073.416,13842.11345,39210.362,36223.688,46506.082,56624.895,45999.862,34533.073,21947.24,15460.567,25131.415,34716.264,2340.4561,0.175,-3.233,190,0,
PF3D7_0711000,chr7,76467.295,69228.337,78999.681,9972.9438,3558.862,12256.839,36382.218,38177.409,32994.845,24768.41,13153.896,19641.354,24784.138,16645.759,31049.8114,0.125,-2.992,345,1562.252075,tr|A0A7I2V2Y2|A0A7I2V2Y2_HUMAN
PF3D7_0711100,chr7,3329.002,8424.108,9475.387,12932.5248,25761.25,16121.212,6246.547,7522.979,7548.765,5678.682,12130.547,441.874,1208.772,2706.715,243.1704,1,-1.18,68,0,
PF3D7_0711200,chr7,6732.713,13102.902,10652.451,3481.76795,3969.173,1858.173,2007.425,4497.782,6422.081,3305.651,4187.696,4870.48,4800.958,10860.054,14594.4886,0.146,-3.255,1190,0,
PF3D7_0711300,chr7,44420.564,32174.514,33481.092,13610.45175,23510.227,45192.638,47527.557,36733.496,23856.733,20439.998,16139.537,36373.265,22803.779,50682.83,8720.8345,0.13,-2.592,42,0,
PF3D7_0711400,chr7,24912.341,34175.482,43908.894,23064.59185,5174.91,24732.795,49291.412,58200.067,69562.321,66524.688,31433.396,28462.085,12411.206,14217.913,30858.4884,1,-1.478,508,576.9230769,sp|O00422|SAP18_HUMAN
PF3D7_0711500,chr7,38068.309,123336.928,113649.917,32164.5993,68553.992,142523.766,165557.397,134210.396,83197.996,58840.651,42086.643,61389.36,54524.977,33615.213,21841.4402,0.42,-2.602,273,1395.348837,sp|P18754|RCC1_HUMAN
PF3D7_0711700,chr7,0,0,329.903,7346.5979,59120.789,42595.641,7865.345,2155.587,3528.235,3884.962,3589.529,1366.086,1268.587,515.285,161.875,1,-2.042,,0,
PF3D7_0711900,chr7,0,0,0,,,,,,,,,,,,,0.997,-2.185,,0,
PF3D7_0712000,chr7,0,2386.736,1367.112,3027.6626,1806.642,1891.628,980.951,1302.7,1945.913,1669.551,2000.855,1391.972,1596.513,1273.007,1707.9653,1,0.169,,0,
PF3D7_0712300,chr7,0,166.013,125.603,731.1175,898.151,427.723,93.405,105.463,197.336,350.847,422.79,214.857,240.755,324.828,158.9199,1,-2.06,,0,
PF3D7_0712400,chr7,0,331.591,125.642,170.62515,371.696,153.755,14.07,39.161,44.757,114.565,80.396,106.23,137.146,606.513,174.8578,0.998,-2.015,,0,
PF3D7_0712600,chr7,0,0,0.498,18187.78675,235418.112,165081.076,25002.793,4459.204,6599.126,8050.603,8086.849,7886.898,4935.933,1780.748,558.567,0.913,-2.227,,0,
PF3D7_0712800,chr7,0,0,0,596.06715,962.04,574.795,68.062,79.178,106.41,297.131,361.795,122.136,567.966,808.973,4575.4876,1,-0.884,,0,
PF3D7_0712900,chr7,0,0,0,716.1707,1517.617,620.414,55.642,35.441,157.422,402.618,382.457,285.899,333.584,517.205,245.0417,1,0.875,,0,
PF3D7_0713000,chr7,,,,683.9568,39.607,116.136,99.613,20.761,185.313,220.08,254.383,0,748.678,772.736,0,0.138,-2.76,,0,
PF3D7_0713100,chr7,0,0,0,3662.5642,3031.02,38889.842,47664.871,3494.441,8799.921,5905.041,6814.601,258.164,192.211,679.088,428.7795,0.802,0.52,235,0,
PF3D7_0713200,chr7,,,,545.97975,11930.194,4453.164,152.286,51.459,45.544,101.996,377.326,0,0,0,292.982,0.581,-2.385,186,0,
PF3D7_0713400,chr7,8004.252,11875.537,19013.372,34113.07625,50435.949,64082.079,33066.234,47651.108,65848.717,43704.723,50493.46,31946.688,34671.107,13595.873,165159.2076,0.119,-3.149,33,0,
PF3D7_0713500,chr7,1963.95,3041.756,3134.406,8104.08225,16898.694,10543.327,5295.999,9680.205,9121.826,7162.994,7826.783,583.18,2294.825,1117.308,40100.9499,1,-2.544,984,0,
PF3D7_0713600,chr7,23748.688,25756.116,17996.542,9324.00135,4960.328,4240.81,14406.231,22317.449,20501.477,15041.23,13008.501,13824.125,17532.219,9779.909,35856.5355,0.127,-2.964,784,425.2976009,tr|A0A8Q3SIP9|A0A8Q3SIP9_HUMAN
PF3D7_0713700,chr7,15479.981,22721.675,39405.843,19995.524,16703.723,29390.653,33961.605,44961.063,47557.921,37094.048,27468.38,48292.715,56208.604,52613.708,15890.9572,0.153,-3.211,41,0,
PF3D7_0713800,chr7,2742.225,7186.841,8381.591,130760.7826,10430.779,4230.43,8239.132,26577.458,94062.889,109717.011,155128.603,3827.847,4199.637,2034.596,689.4677,0.135,-3.214,40,0,
PF3D7_0713900,chr7,39823.207,21280.677,29823.174,5085.9359,37096.355,40577.552,24139.211,16994.184,9894.523,10520.369,7655.447,4557.07,5104.394,2257.256,8562.0094,1,-0.479,2428,0,
PF3D7_0714000,chr7,351752.412,296814.47,510887.116,665728.0314,320706.275,244752.724,261909.737,936587.211,1141627.328,1090166.847,1298595.653,15846.252,8845.892,16711.366,10436.9753,0.769,-2.375,2,6178.829268,sp|Q99880|H2B1L_HUMAN
PF3D7_0714100,chr7,,,,1363.2857,397.155,151.843,124.317,457.508,1938.166,1764.762,1660.012,657.629,1683.666,1103.451,26587.2609,1,-1.688,207,2038.124927,sp|Q7Z4T9|CFA91_HUMAN
PF3D7_0714200,chr7,22285.249,27718.054,38536.516,40511.04275,31699.132,28074.314,22844.989,37034.98,44707.938,56180.966,51880.891,39435.979,41308.56,40200.743,55765.2698,1,-2.143,663,0,
PF3D7_0714300,chr7,9859.618,11904.191,17922.433,9501.1648,19806.143,18569.081,17391.863,21311.91,22452.291,19194.557,12512.009,16073.472,23212.739,31555.442,15021.7865,1,-2.299,507,810.0003028,sp|Q8IZN3|ZDH14_HUMAN
PF3D7_0714400,chr7,0,39883.606,25398.441,4623.29045,5198.317,8003.136,23277.251,21430.846,11972.881,7245.334,6154.442,2506.649,7106.786,1042.918,31810.9308,0.826,-2.665,62,742.1875,tr|G3V361|G3V361_HUMAN
PF3D7_0714500,chr7,6140.94,19294.759,23167.227,9245.49395,21504.285,25448.908,34041.519,34073.344,25981.111,15076.311,12860.661,12108.206,25085.942,12583.813,47694.6011,0.168,-2.857,123,1290.323573,sp|O75764|TCEA3_HUMAN
PF3D7_0714600,chr7,15014.426,28251.721,36519.22,47650.1377,68005.473,53751.549,47740.995,51274.173,64391.996,67459.605,41861.824,6227.414,5817.082,4387.624,0,0.31,-2.587,283,0,
PF3D7_0715000,chr7,12956.131,41649.689,52358.156,20957.0349,84891.298,111164.439,108190.177,77084.487,52977.843,21414.912,24350.781,33103.128,56963.515,25554.761,115179.3268,0.913,-2.49,89,2577.630745,sp|Q96GD0|PLPP_HUMAN
PF3D7_0715100,chr7,0,976.835,3473.824,19184.1337,2271.593,1626.423,999.347,4684.701,19885.127,15148.049,24664.897,8856.546,46600.175,11152.884,17842.0558,0.141,-3.055,40,2129.62963,sp|Q99417|MYCBP_HUMAN
PF3D7_0715200,chr7,89433.166,93753.641,77803.854,18561.6082,1994.727,814.316,8399.788,40420.335,51243.672,47055.987,30857.047,177678.025,325164.334,417182.219,253993.4177,1,-2.289,1005,0,
PF3D7_0715300,chr7,4101.4,12875.035,12615.472,10329.37455,1065.193,186.798,3763.391,25675.221,33046.172,26051.763,17180.621,25596.027,20017.603,22869.632,10954.6178,0.977,-0.436,116,1605.410251,sp|Q8IU85|KCC1D_HUMAN
PF3D7_0715400,chr7,2869.125,30692.119,68145.207,11009.621,1572.157,2310.702,38802.16,55614.046,58333.3,29285.243,27862.674,114290.261,109421.225,205128.066,80561.3673,1,-2.83,51,0,
PF3D7_0715500,chr7,869941.364,1003705.592,815680.823,11842.3331,2127.8,3098.818,43517.574,64963.152,48239.925,29046.847,23089.893,15407.319,14649.032,21863.653,0,1,-1.82,11,0,
PF3D7_0715600,chr7,139682.946,354992.193,363331.615,20232.36215,2274.495,7269.683,63732.839,104224.654,96923.372,59241.537,40018.207,29752.442,36271.27,20207.022,36076.5501,0.121,-2.943,96,782.5033156,tr|F8WAU4|F8WAU4_HUMAN
PF3D7_0715700,chr7,17837.611,13498.254,17199.457,8075.2638,483.45,1853.349,13947.917,20777.544,23056.917,10724.228,12354.819,22549.889,24957.466,49382.851,1095.0369,0.161,-3.047,14,0,
PF3D7_0715800,chr7,18622.991,18123.894,32699.456,12459.4729,2527.994,11433.036,41519.874,85155.411,76734.349,34758.159,32242.714,56005.629,53592.22,164913.289,66032.4555,0.847,-3.052,196,0,
PF3D7_0715900,chr7,45268.679,38316.193,32778.257,27630.54485,3158.271,6029.498,79874.106,138363.08,107911.452,87199.601,48698.37,33222.505,37760.122,41297.474,3017.4957,1,-1.312,169,1007.189928,sp|Q9BRI3|ZNT2_HUMAN
PF3D7_0716000,chr7,67683.648,41508.544,41746.692,29762.2289,82717.053,71370.858,68945.712,87238.706,98523.669,102511.107,33391.762,126200.317,90293.195,62303.571,97946.6661,0.255,-2.619,678,835.5488,sp|P26368|U2AF2_HUMAN
PF3D7_0716100,chr7,43224.146,32928.828,36664.804,16377.6782,71719.652,67420.678,50917.944,25481.939,21604.136,21172.182,13251.186,23612.304,10483.951,7852.421,1869.0833,0.19,-3.271,300,430.3055192,tr|E7EW05|E7EW05_HUMAN
PF3D7_0716200,chr7,44878.782,84925.184,67031.723,46714.64445,217301.539,151603.425,74227.178,63743.111,50927.2,39539.667,33580.126,183655.333,216020.124,275037.117,91145.0204,0.153,-2.763,472,444.7088942,tr|F5H4V9|F5H4V9_HUMAN
PF3D7_0716300,chr7,348939.969,450556.017,473010.929,92145.13,16793.159,102226.121,329278.832,599251.805,538014.41,314963.235,225552.102,129808.785,133010.457,342557.22,93958.8113,0.574,-2.253,225,0,
PF3D7_0716400,chr7,138151.851,127080.425,107277.5,14914.2372,13215.592,7881.741,15245.787,48271.574,47782.729,40953.509,22461.885,104951.871,110061.391,74403.161,13859.2116,0.14,0,22,0,
PF3D7_0716500,chr7,19969.06,11871.883,12678.325,11284.7373,2159.221,6492.626,36620.359,39803.228,33126.208,20742.265,17430.233,18179.16,15789.795,22216.529,45136.3692,0.653,-3.058,166,0,
PF3D7_0716600,chr7,36364.423,34573.665,44661.851,4601.937,633.058,3515.978,10868.697,13256.802,14838.826,7270.902,9019.178,13306.358,21457.84,24476.295,16756.4083,0.408,-2.488,140,1410.252747,sp|Q96I15|SCLY_HUMAN
PF3D7_0716700,chr7,2619.367,23028.04,21262.784,8552.19075,981.417,2269.697,18413.486,14859.038,17963.796,12805.208,12482.652,20206.02,29325.576,19694.562,6312.4397,0.206,-2.764,1753,0,
PF3D7_0716800,chr7,68745.989,126535.29,99718.69,50207.1258,191663.796,254471.335,292150.078,214326.01,126194.92,98822.063,54543.624,93743.886,109613.652,127035.444,94437.7929,0.143,-2.97,14,3210.990826,sp|Q13347|EIF3I_HUMAN
PF3D7_0716900,chr7,107975.893,85908.457,75814.563,16033.00955,23695.326,54245.222,68771.707,51818.264,47188.526,25482.717,30905.074,179772.855,217554.586,437449.599,190563.6925,0.122,-3.195,14,0,
PF3D7_0717000,chr7,11997.561,10116.921,14357.518,11856.4772,1240.459,870.064,4763.78,23469.071,32207.64,22595.194,19544.292,21932.345,28766.981,26331.345,30688.8061,0.703,-2.707,46,0,
PF3D7_0717100,chr7,7778.202,25446.409,33928.489,21490.7533,4708.973,22694.109,60357.397,64098.317,52577.488,45963.02,30509.866,21343.019,18408.403,22767.608,9329.8963,1,0.88,228,559.2078947,sp|Q9NXN4|GDAP2_HUMAN
PF3D7_0717200,chr7,11925.115,18964.894,22465.618,111135.1335,36427.144,46416.507,31070.756,63775.397,118042.545,144591.767,156300.469,52961.489,57723.263,59126.381,21008.9553,0.5,-2.423,70,487.2389791,sp|Q8IXT5|RB12B_HUMAN
PF3D7_0717300,chr7,2551.439,7098.803,8332.874,22737.98405,18455.344,26073.915,14923.562,14084.961,13999.361,16528.398,30347.247,12107.949,14002.363,6441.188,11631.2722,0.486,-2.701,89,1020.416327,sp|P29083|T2EA_HUMAN
PF3D7_0717400,chr7,24878.161,29671.5,9745.414,28114.04425,86744.312,106954.152,86200.74,35406.76,28600.286,30104.065,32744.978,29469.182,24674.795,16897.451,1757.2114,1,1.159,971,1344.875233,sp|Q9BXR0|TGT_HUMAN
PF3D7_0717500,chr7,69475.932,11807.176,9494.425,212976.8364,36961.59,28847.477,30731.696,99876.93,245796.893,252186.045,297491.082,290895.878,310574.708,108752.847,969670.1836,0.999,-2.794,24,2272.741288,tr|A0A8V8TPM4|A0A8V8TPM4_HUMAN
PF3D7_0717600,chr7,49044.788,39513.126,48286.152,22798.65195,2323.435,831.94,8490.243,35829.356,56427.567,55232.451,39926.631,170898.48,251236.977,413369.29,209578.7093,0.329,-2.592,290,0,
PF3D7_0717700,chr7,57017.165,120708.734,115126.372,69619.57445,269284.864,268594.567,238744.939,260381.673,188225.695,140134.566,103747.511,249845.681,294284.492,337967.148,216727.2717,0.127,-3.11,124,4304.25974,tr|Q5T5C7|Q5T5C7_HUMAN
PF3D7_0717800,chr7,17716.492,8177.817,11250.39,7226.90815,1257.015,4134.874,7215.594,5736.015,8385.282,7782.748,4802.373,25652.674,32079.706,62681.112,27931.549,1,-2.389,553,0,
PF3D7_0717900,chr7,30416.799,22723.977,16561.181,4345.5794,5231.26,18551.723,30786.462,20265.916,13590.373,9090.802,7362.661,14405.473,13282.393,12483.284,367.8978,0.14,-2.871,89,0,
PF3D7_0718000,chr7,2129.188,2154.214,1510.444,502.08055,251.82,362.04,651.569,715.449,1544.425,942.486,1036.341,8867.742,10712.856,5494.772,65850.777,1,-0.669,524,441.3356141,sp|Q9P2D7|DYH1_HUMAN
PF3D7_0718100,chr7,797.905,3309.769,7610.827,4389.505,688.315,434.358,8075.317,20936.163,15305.03,11743.828,8276.217,31645.911,25368.141,17116.645,119467.2569,1,-1.152,724,0,
PF3D7_0718300,chr7,0,74.691,334.117,5270.58005,341.206,12.281,133.084,174.324,1250.576,1227.796,4617.706,958.552,4763.6,3370.609,25045.3231,1,-0.19,302,224.1489579,sp|Q9H1U4|MEGF9_HUMAN
PF3D7_0718400,chr7,23947.216,29938.584,27024.319,136114.6169,10482.999,49226.837,90795.458,121101.589,142028.942,130414.919,174378.935,99729.113,95013.632,144137.487,14645.7242,0.153,-2.673,12,0,
PF3D7_0718500,chr7,54505.436,44545.371,39592.469,49438.49695,22636.462,44631.005,65175.379,100085.388,96598.509,70358.059,62681.606,62033.966,53974.32,40395.631,4577.6133,0.18,-3.36,23,3020.846354,sp|P61758|PFD3_HUMAN
PF3D7_0718600,chr7,744.115,1630.91,2301.42,34441.8178,2250.579,1620.582,7555.659,12468.196,22380.947,23956.724,32344.261,9158.18,6813.953,2981.427,122.2979,1,0.148,394,0,
PF3D7_0718700,chr7,13700.858,28702.182,31993.148,10691.0341,1440.982,7014.834,32052.197,26287.318,30741.378,10209.297,16459.715,13062.896,10891.179,3708.676,0,0.982,0.741,176,0,
PF3D7_0718800,chr7,0,92398.986,57617.972,3290.2362,436.801,173.337,324.187,2007.976,5460.297,2506.128,3610.694,49863.084,42077.813,31211.676,851.5241,0.123,-2.982,22,0,
PF3D7_0718900,chr7,7126.094,30433.675,28561.024,2510.3027,1972.202,823.335,153.362,521.842,2984.683,1897.635,3684.716,13952.978,39710.573,21785.136,7361.8217,0.378,-2.456,76,0,
PF3D7_0719000,chr7,1236622.283,591590.879,567269.764,15192.8577,37054.129,60803.377,71856.808,50878.975,44070.05,26682.278,23082.599,681493.946,725875.236,1359945.774,435271.7754,0.128,-3.107,46,0,
PF3D7_0719100,chr7,34634.647,58635.286,67987.989,24663.25225,8728.244,10050.73,31486.206,63781.503,85364.51,50403.751,42925.292,95825.32,94209.299,128521.877,79095.9407,0.143,-3.6,40,0,
PF3D7_0719200,chr7,3946.33,55551.022,65925.613,5063.77475,706.904,719.042,661.936,1560.291,4959.48,4144.43,5050.365,174004.198,241016.847,207599.209,8301.9951,0.195,-2.384,10,3677.382581,sp|P51957|NEK4_HUMAN
