Chr,Gene,Ring,ET,LT,Schizont,GII,GV,MIS,MFS,Number_of_Haplotypes,Number_of_Haplotypes_Above_25_Samples
chr4,PF3D7_0406200,393.1613,729.2954,1430.6756,538.2048,229000.7182,27458.6992,0.158,0,29,5
chr4,PF3D7_0406400,102.0118,74.5178,115.2069,170.0065,72.1114,58.416,0.592,-1.357,49,3
chr4,PF3D7_0406500,269.3321,66.4361,37.7172,53.3736,139.6609,89.9444,1,-1.598,113,1
chr4,PF3D7_0406600,10.6689,0,17.4542,0,457.4071,482.1323,0.126,0,39,2
chr4,PF3D7_0406700,17.5498,3.6406,52.3412,27.8144,38.8159,38.8944,0.119,-3.106,323,11
chr4,PF3D7_0406800,41.6485,5.3998,111.9087,33.6776,249.7604,252.1022,0.205,-2.7,74,4
chr4,PF3D7_0406900,45.9742,10.7572,4.594,0.8713,9.7862,42.0892,1,-1.779,1139,19
chr4,PF3D7_0407000,49.132,26.241,12.215,7.1156,12.9283,129.5075,0.127,-3.118,222,15
chr4,PF3D7_0407100,73.8106,69.9328,36.5918,20.66,42.0868,58.5905,0.786,-2.53,130,6
chr4,PF3D7_0407200,129.1241,232.5364,89.1069,18.7941,127.7918,263.9909,0.297,-2.499,95,2
chr4,PF3D7_0407300,90.2143,186.9428,29.6104,9.433,62.3227,126.0372,0.119,-3.016,183,11
chr4,PF3D7_0407400,102.183,77.3414,17.5247,0,140.1645,205.8044,1,0.358,60,4
chr4,PF3D7_0407500,21.7865,80.3465,30.7221,1.9574,22.6319,27.8304,0.145,-3.036,59,4
chr4,PF3D7_0407600,22.7323,2.6287,2.924,1.4904,3.9388,36.3809,1,-2.501,735,11
chr4,PF3D7_0407700,18.3074,2.416,82.7531,117.7683,27.1149,50.6036,1,-1.61,247,4
chr4,PF3D7_0407800,18.8301,4.0283,248.9669,296.533,33.8262,110.4593,0.22,-2.733,734,28
chr4,PF3D7_0407900,34.1108,27.9032,69.0368,29.0043,10.9904,32.1484,1,-1.68,139,6
chr4,PF3D7_0408000,25.1327,5.2136,63.7932,36.5809,89.9606,545.8599,0.418,-2.249,93,10
chr4,PF3D7_0408100,57.9395,13.7176,24.9317,19.9996,16.8838,28.2636,1,-1.888,571,20
chr4,PF3D7_0408200,63.2288,9.4274,14.1056,14.0601,12.6673,71.1596,0.196,-2.626,305,10
chr4,PF3D7_0408300,81.5179,142.7702,80.7351,32.0377,37.5894,34.2527,1,-1.863,140,3
chr4,PF3D7_0408400,12.6903,5.0952,31.6593,12.9098,9.8415,40.3159,0.127,-2.866,135,6
chr4,PF3D7_0408500,34.5904,8.3051,296.4747,335.644,73.9185,21.472,0.999,-0.586,167,8
chr4,PF3D7_0408600,17.7812,2.6487,29.4837,2.7533,6.3667,21.5378,1,-1.302,1230,56
chr4,PF3D7_0408700,22.0147,1.2592,8.0891,3.1414,19.7172,30.1348,1,-1.461,833,62
chr4,PF3D7_0408800,18.8818,0.918,1.4041,0,5.6742,10.7886,0.892,-2.905,97,7
chr4,PF3D7_0408900,4.3964,1.14,3.4873,3.555,15.2669,29.5958,0.138,-2.739,293,11
chr4,PF3D7_0408900,0,0,0,0,0,0,0.138,-2.739,293,11
chr4,PF3D7_0409000,23.8878,3.2731,13.1613,18.1088,9.1363,22.6729,1,-0.787,2064,28
chr4,PF3D7_0409100,187.2838,167.0039,153.5007,28.7671,42.9274,44.8596,0.125,-3.04,142,9
chr4,PF3D7_0409200,196.7831,295.1007,189.8108,42.7698,142.1986,293.0557,0.198,-2.798,104,6
chr4,PF3D7_0409300,60.7615,74.0586,28.6836,4.1773,6.8997,18.0935,0.654,-3.042,573,15
chr4,PF3D7_0409400,90.5493,177.0262,90.2526,12.5244,11.7755,21.4541,1,-0.609,186,5
chr4,PF3D7_0409500,27.6731,8.2798,199.4535,158.7901,98.0871,167.847,0.127,-2.948,33,3
chr4,PF3D7_0409600,23.8408,67.4927,167.8562,87.0493,9.2571,32.8868,0.434,-2.586,409,21
chr4,PF3D7_0409700,10.5993,29.3742,47.686,54.6388,200.1379,447.3313,0.134,-2.626,65,2
chr4,PF3D7_0409800,141.4451,119.7295,87.173,134.5343,33.8415,96.4106,0.119,-3.047,254,12
chr4,PF3D7_0409900,70.8253,17.5306,38.5774,168.4644,26.1671,36.5021,0.783,-2.424,98,2
chr4,PF3D7_0410000,103.8592,243.0125,146.7422,95.1361,20.157,24.8384,0.859,-2.864,247,12
chr4,PF3D7_0410300,64.205,67.1151,70.0824,37.5472,23.1991,21.6775,1,-2.399,379,25
chr4,PF3D7_0410400,84.4258,70.1288,31.0715,17.3563,252.8487,285.4179,0.154,-2.939,61,1
chr4,PF3D7_0410500,24.4087,5.4251,9.3348,8.4588,33.5318,223.1432,0.119,-2.819,42,5
chr4,PF3D7_0410600,56.9821,129.3879,94.6725,28.6422,74.8714,121.166,0.16,-3.223,44,1
chr4,PF3D7_0410700,17.2083,17.9116,110.7354,118.1785,46.0316,129.9229,0.177,-2.785,226,9
chr4,PF3D7_0410800,33.6027,74.4387,374.1243,240.7663,84.3505,107.8234,0.131,-2.926,1373,35
chr4,PF3D7_0410900,73.023,78.585,59.9254,14.7035,23.8235,57.0903,0.996,-2.419,359,16
chr4,PF3D7_0411000,361.3275,345.9739,35.1293,4.2601,42.923,484.3758,1,-2.426,858,35
chr4,PF3D7_0411100,136.0091,19.1211,39.9687,7.9503,38.0817,171.596,0.12,-3.056,43,4
chr4,PF3D7_0411200,27.6235,58.5313,33.1797,1.9146,18.7633,71.8244,0.122,-2.96,738,30
chr4,PF3D7_0411300,11.4079,8.8744,41.4468,5.9301,11.4273,33.1834,0.142,-3.128,386,18
chr4,PF3D7_0411400,46.9796,56.2696,30.0186,5.4269,19.521,34.2928,0.146,-3.217,698,22
chr4,PF3D7_0411500,,,,,,,,,2,1
chr4,PF3D7_0411600,,,,,,,,,1,1
chr4,PF3D7_0411700,18.8052,4.1797,0,0,359.5227,5293.6987,0.27,0.191,86,3
chr4,PF3D7_0411800,14.7131,4.6269,33.2423,18.6052,15.9297,60.4239,1,-0.235,186,3
chr4,PF3D7_0411900,16.0703,22.0363,239.8174,158.5796,45.8375,99.32,0.13,-2.963,697,30
chr4,PF3D7_0412000,11.5949,37.6983,206.4044,99.5278,42.8848,35.2098,0.967,-2.729,642,29
chr4,PF3D7_0412100,15.118,7.2373,32.1699,5.6421,12.581,18.8466,0.385,-2.485,125,16
chr4,PF3D7_0412200,13.6393,16.5785,9.6354,2.0679,32.1069,80.0565,1,-1.531,114,7
chr4,PF3D7_0412300,16.0462,3.3042,19.9341,13.7384,7.564,63.541,0.98,-2.835,353,49
chr4,PF3D7_0412400,2591.2464,58.5694,10.8471,8.1241,4.2741,3.608,0.999,-1.817,,
chr4,PF3D7_0412600,,,,,,,0.196,-2.544,,
chr4,PF3D7_0412700,913.0775,110.0354,14.9436,17.4525,3.3224,2.7869,1,1.497,,
chr4,PF3D7_0412900,3.4133,0.5532,0.0846,0,0.2279,0.1773,1,-1.74,,
chr4,PF3D7_0413100,6.7903,1.2105,0.0842,0,0.1134,0.2351,1,-1.604,,
chr4,PF3D7_0413200,25.99,10.7829,1.5462,2.1016,1.3885,0.72,0.79,-2.403,,
chr4,PF3D7_0413300,39.351,12.925,1.5607,0,1.4015,2.1803,0.432,-2.453,,
chr4,PF3D7_0413400,,,,,,,0.997,-2.031,,
chr4,PF3D7_0413500,32.9991,6.8455,249.5351,195.6795,61.7032,76.1809,0.119,-3.017,25,4
chr4,PF3D7_0413600,155.6246,230.7365,896.1377,649.8102,113.8483,76.1605,0.191,-2.71,10,1
chr4,PF3D7_0413700,22.19,19.2235,165.0112,68.5103,24.6526,64.1273,0.971,-2.569,27,2
chr4,PF3D7_0413800,9.0127,3.1869,35.0945,23.8509,66.9713,371.7913,0.152,-3.165,43,4
chr4,PF3D7_0413900,112.0107,60.9698,140.2555,56.9613,33.5651,68.961,0.121,-2.916,147,7
chr4,PF3D7_0414000,11.7436,30.0345,74.6479,24.1954,24.7518,75.4723,0.142,-3.134,187,12
chr4,PF3D7_0414100,6.7192,19.6782,15.0487,3.3559,9.3438,16.4244,0.261,-2.488,684,45
chr4,PF3D7_0414200,1.8825,0.4881,1.8665,0,7.0399,8.3441,0.131,-3.125,31,4
chr4,PF3D7_0414200,0,0,0,0,0,0,0.131,-3.125,31,4
chr4,PF3D7_0414300,16.6206,30.5134,34.0135,14.5148,38.3591,72.6573,0.59,-2.141,24,2
chr4,PF3D7_0414400,5.5693,2.1662,2.2088,0,0,11.5714,1,-0.945,153,10
chr4,PF3D7_0414500,13.9735,3.3818,6.0961,5.273,119.9412,55.3562,0.992,-2.762,29,1
chr4,PF3D7_0414600,8.4615,9.114,167.6633,172.1051,67.8073,149.5705,0.677,-2.209,31,4
chr4,PF3D7_0414700,13.2518,23.7675,77.3025,60.7218,12.3894,39.6177,0.951,-0.11,133,11
chr4,PF3D7_0414800,5.0059,0.9735,13.0289,22.7692,0.5014,4.4204,1,0.483,95,4
chr4,PF3D7_0414900,37.4832,6.6558,233.1684,700.7418,23.5077,7.9573,0.682,-2.214,15,2
chr4,PF3D7_0415000,130.2458,61.1416,137.6002,19.9742,68.383,83.3616,0.158,-3.251,35,2
chr4,PF3D7_0415100,129.3966,21.6667,39.3522,9.8532,34.8745,168.0612,0.133,-2.806,85,4
chr4,PF3D7_0415200,35.7831,17.5391,73.6409,27.8762,8.0431,28.2278,1,-0.623,1520,31
chr4,PF3D7_0415300,212.7222,351.5155,141.2119,31.242,59.4323,85.2582,0.138,-2.825,288,18
chr4,PF3D7_0415400,98.9474,67.4258,141.9127,106.0603,341.7578,494.0412,0.13,-3.262,31,2
chr4,PF3D7_0415500,120.4904,144.6861,119.7876,58.8506,170.4319,165.3286,0.996,0,28,3
chr4,PF3D7_0415600,21.6926,6.25,9.5592,1.949,25.7535,116.517,0.91,-2.385,45,4
chr4,PF3D7_0415700,7.5906,4.9964,43.4199,25.4958,6.5507,18.1974,0.122,-3,109,6
chr4,PF3D7_0415800,18.6156,1.2272,20.272,16.0734,7.5854,79.7161,1,-0.641,872,38
chr4,PF3D7_0415900,2722.3795,3771.0007,1263.609,577.2857,1961.3387,541.0683,0.123,-2.823,12,1
chr4,PF3D7_0416000,75.2803,158.32,349.7995,622.7466,345.9753,181.1806,1,0.692,145,8
chr4,PF3D7_0416100,30.7879,89.3819,243.2038,240.9994,33.829,67.6616,0.164,-2.831,185,14
chr4,PF3D7_0416200,160.6786,127.7876,126.5609,78.3918,76.25,88.4036,0.431,-2.452,50,2
chr4,PF3D7_0416300,27.1008,26.5423,103.5776,37.3644,11.8744,31.5973,1,-2.279,300,10
chr4,PF3D7_0416400,66.8547,170.4686,504.0124,316.2971,93.2077,87.9734,0.401,-2.625,276,11
chr4,PF3D7_0416500,19.4312,9.5014,113.9451,96.9675,238.0198,352.74,0.134,-2.987,56,3
chr4,PF3D7_0416600,16.54,3.8252,34.5719,10.8442,80.2437,152.8801,0.12,-2.978,48,5
chr4,PF3D7_0416700,31.9305,78.1528,114.4368,51.0093,129.8119,213.591,0.987,1.286,11,1
chr4,PF3D7_0416800,388.5039,689.7554,1072.9971,844.8638,487.0917,320.3618,0.131,-2.831,8,2
chr4,PF3D7_0416900,82.3403,112.5794,43.2032,18.7958,14.3124,67.1223,0.227,-2.747,320,12
chr4,PF3D7_0417000,12.9791,7.4396,6.0958,1.6571,104.557,317.9258,0.262,-2.667,34,4
chr4,PF3D7_0417100,13.2387,1.2873,0.6563,0,15.9135,56.6172,1,0.504,23,3
chr4,PF3D7_0417200,25.2587,25.6642,236.4371,76.2796,42.9613,32.3451,0.125,-3.031,31,9
chr4,PF3D7_0417300,139.415,220.6547,125.5543,34.2875,48.1383,57.1321,0.291,-3.298,61,5
chr4,PF3D7_0417400,237.0059,324.0093,109.3088,60.8264,35.9311,116.3968,0.17,-2.817,718,2
chr4,PF3D7_0417500,18.5911,62.488,296.1128,485.0278,371.049,95.3285,0.353,-2.456,58,2
chr4,PF3D7_0417600,20.3389,1.6655,28.6571,5.1936,20.0161,65.3895,1,-0.07,233,12
chr4,PF3D7_0417700,9.9961,1.1664,25.2736,9.6996,36.0474,108.8305,0.121,-2.858,146,5
chr4,PF3D7_0417800,31.4951,52.1625,131.9617,37.7904,49.3925,60.794,1,-2.585,240,13
chr4,PF3D7_0417900,24.4483,9.1436,6.1534,3.4216,26.3738,91.434,1,-0.805,562,38
chr4,PF3D7_0418000,24.5977,6.9352,28.531,22.5737,23.2577,82.5556,1,-1.427,1721,12
chr4,PF3D7_0418100,121.1749,80.2643,42.2294,4.8507,23.7154,46.282,0.23,-2.648,630,20
chr4,PF3D7_0418200,192.3876,203.503,170.7475,44.5834,68.3121,58.9842,0.121,-3.135,47,3
chr4,PF3D7_0418300,1363.0942,1840.684,1564.6931,2037.6778,235.7032,89.2579,1,0.944,571,17
chr4,PF3D7_0418400,10.6098,59.609,17.5328,2.8598,39.6775,163.1274,0.289,-0.873,30,3
chr4,PF3D7_0418500,23.7382,43.2501,68.0082,13.6386,103.6247,306.0515,0.12,-3.04,25,4
chr4,PF3D7_0418600,26.1262,6.5283,72.2494,98.3322,5.8369,10.2644,1,-2.628,1060,27
chr4,PF3D7_0418700,196.256,156.9115,59.1874,27.5513,20.7512,46.6287,0.119,-2.985,439,21
chr4,PF3D7_0418800,10.4316,1.623,1.2412,0,653.1529,4354.1352,0.341,-2.465,32,2
chr4,PF3D7_0418900,9.2674,2.9493,18.7951,4.0875,23.63,37.9851,0.197,-2.694,143,7
chr4,PF3D7_0419000,10.0394,3.5499,18.1889,21.0331,68.7499,75.8512,0.223,-2.463,185,6
chr4,PF3D7_0419100,8.407,7.8479,10.6695,5.4384,40.4223,28.8794,0.143,-2.913,84,3
chr4,PF3D7_0419200,23.7983,15.551,53.2329,41.5664,115.1893,163.7658,0.125,-3.136,33,1
chr4,PF3D7_0419300,26.7164,15.6673,95.1176,56.8333,85.6382,100.5998,0.164,-2.853,76,4
chr4,PF3D7_0419400,13.246,2.473,83.6868,89.0081,6.0505,11.8343,1,-2.128,1778,27
chr4,PF3D7_0419500,31.9211,14.08,35.0434,21.5543,20.5698,51.2808,1,-1.237,195,11
chr4,PF3D7_0419600,953.3625,551.5307,846.4278,335.0736,243.4392,148.7119,0.998,-1.968,57,1
chr4,PF3D7_0419700,284.6289,54.316,96.025,118.5649,65.4979,235.1861,0.315,-3.44,124,10
chr4,PF3D7_0419800,324.0251,114.6645,70.302,69.356,160.3791,397.0754,0.208,-3.3,60,1
chr4,PF3D7_0419900,149.3987,129.2818,110.1367,80.869,20.2084,68.8292,0.12,-3.011,760,1
chr4,PF3D7_0420000,195.5445,245.8881,82.8103,30.6979,19.2454,59.494,1,-1.265,1229,7
chr4,PF3D7_0420100,202.4814,314.7497,125.1224,73.5054,73.703,70.6597,0.125,-2.981,330,12
chr4,PF3D7_0420200,22.2689,9.3033,22.0797,0,15.5322,129.8945,0.234,-2.64,478,43
chr4,PF3D7_0420300,313.5221,505.647,348.1132,289.088,29.3517,49.7388,0.401,-2.563,2601,23
chr4,PF3D7_0420400,21.0663,19.6654,23.185,12.7759,88.6292,131.7474,0.164,-2.754,136,12
chr4,PF3D7_0420500,4.3884,1.1379,13.9235,10.6455,227.411,469.5654,0.962,-0.762,77,2
chr4,PF3D7_0420600,21.5524,21.673,140.7245,170.8752,58.1325,163.173,0.143,-3.265,292,24
chr4,PF3D7_0420700,44.7419,6.8595,2.2343,4.7534,1.3086,0.8143,1,-1.925,,
chr4,PF3D7_0420900,5.4379,0.2287,0,0,0,0.0611,0.99,-2.016,,
chr4,PF3D7_0421100,49.6269,57.3898,1.0575,5.3905,0.831,0.7387,0.978,-2.103,,
chr4,PF3D7_0421200,24.4998,1.4661,0,0,0,1.1747,1,-1.609,,
chr4,PF3D7_0421300,171.0353,158.0054,3.9574,11.834,10.3062,9.03,1,-1.121,,
chr4,PF3D7_0421500,,,,,,,0.992,-1.183,,
chr4,PF3D7_0421600,,,,,,,1,-1.272,,
chr4,PF3D7_0421700,14.2311,1.067,0.612,0.8319,12.6409,62.9126,1,-0.866,2775,23
chr4,PF3D7_0421800,13.1996,6.8455,0,0,45.8366,493.6522,0.119,-2.995,28,4
chr4,PF3D7_0421900,5.198,4.0436,6.1846,0,320.7417,4170.9484,1,-2.4,36,3
chr4,PF3D7_0422000,15.1623,8.0551,22.0002,5.3826,87.7204,236.6559,0.22,-2.969,69,2
chr4,PF3D7_0422100,78.2638,58.6138,79.8161,34.1977,30.385,106.4542,0.119,-2.978,218,14
chr4,PF3D7_0422200,80.1707,96.751,47.9144,26.0868,45.4059,160.1619,1,-2.322,1872,5
chr4,PF3D7_0422300,157.7038,96.1491,953.6048,278.6504,1434.1046,599.6594,0.966,-1.974,6,1
chr4,PF3D7_0422400,606.2497,996.362,569.8246,116.9712,530.9063,387.1729,0.408,-2.526,16,1
chr4,PF3D7_0422500,284.2727,445.3741,173.2727,54.0807,65.8598,50.3758,0.123,-2.951,2028,51
chr4,PF3D7_0422600,35.3182,14.7185,22.5117,15.2994,63.681,46.1254,1,1.421,24,2
chr4,PF3D7_0422700,165.2237,172.438,218.8678,23.6501,31.2506,34.3288,0.134,-2.791,24,1
chr4,PF3D7_0422800,8.6262,3.3552,29.0798,12.788,23.8104,52.1752,1,-0.746,203,17
chr4,PF3D7_0422900,5.2997,8.7607,19.3109,4.8211,97.1492,685.4492,0.121,-3.177,87,2
chr4,PF3D7_0423000,83.024,20.8954,60.5285,35.5418,122.6282,636.2228,0.847,-1.845,164,10
chr4,PF3D7_0423100,77.4005,39.9359,133.9087,63.2259,132.2796,353.1399,0.223,-2.931,19,2
chr4,PF3D7_0423200,22.152,7.7546,77.752,42.9899,107.3983,414.691,1,-1.349,29,2
chr4,PF3D7_0423300,18.816,0.7704,111.6421,180.1761,19.84,454.5223,0.696,-2.396,247,8
chr4,PF3D7_0423400,16.4348,3.1962,309.4463,3129.6685,102.0695,208.9794,0.519,0,130,6
chr4,PF3D7_0423500,72.0348,19.2127,1426.9071,4636.2457,840.8202,641.6057,0.773,-2.279,32,1
chr4,PF3D7_0423600,102.6124,141.9454,63.6767,25.0455,37.1469,73.8975,0.126,-2.834,353,8
chr4,PF3D7_0423700,20.2275,33.0441,653.1126,157.0201,4635.9302,164.5358,1,0,49,10
chr4,PF3D7_0423800,25.0419,2.2652,101.1646,149.7506,5.1336,10.89,0.248,-2.623,157,13
chr4,PF3D7_0423900,24.967,11.0984,16.9748,23.0728,9.5274,5.9285,0.46,0,170,14
chr4,PF3D7_0424000,48.454,363.962,45.8728,6.3195,6.2628,1.5155,0.999,1.309,301,14
chr4,PF3D7_0424100,32.2682,65.4064,47.5855,45.2025,2.1852,1.5109,0.126,-3.141,171,17
chr4,PF3D7_0424200,15.8036,2.4284,16.714,5.2063,1.4072,2.2701,0.12,-2.964,991,32
chr4,PF3D7_0424300,,,,,,,1,-2.144,,
chr4,PF3D7_0424400,26.7656,0.5339,0.7349,0,0.99,1.7682,1,-1.171,1172,6
chr4,PF3D7_0424500,277.571,7.0347,4.1842,0,2.2143,8.455,1,0.533,189,10
chr4,PF3D7_0424600,78.7299,3.0815,26.6586,0,3.1744,2.6749,0.998,-0.203,125,25
chr4,PF3D7_0424700,624.4659,51.3887,31.655,0,5.6935,4.8368,1,0.721,98,4
chr4,PF3D7_0424800,131.8617,1.2664,0.9685,0,2.6091,3.0441,1,-0.216,129,10
chr4,PF3D7_0424900,629.1656,7.8808,8.8815,0,2.991,7.3116,0.131,-3.07,166,26
chr4,PF3D7_0425000,,,,,,,0.128,-2.888,,
chr4,PF3D7_0425100,51.3694,0,0,0,0,1.4231,0.866,-2.541,191,31
chr4,PF3D7_0425200,46.3584,1.288,0,0,0.6634,1.032,1,0.74,269,43
chr4,PF3D7_0425300,,,,,,,0.151,-2.715,,
chr4,PF3D7_0425400,6.7162,1.0449,0,0,2.1528,0.5582,0.125,-2.73,,
chr4,PF3D7_0425500,4.3612,61.0683,1.2973,2.6449,0,0.4531,0.971,-1.847,,
chr4,PF3D7_0425600,,,,,,,0.143,-2.769,,
chr4,PF3D7_0425700,9.8987,3.8502,0.5889,0,0.7932,0,0.9,0,,
chr4,PF3D7_0425800,87.3622,74.2149,4.4914,45.6678,1.0215,1.0186,1,-1.972,,
chr4,PF3D7_0425900,9.4978,7.881,2.2601,0,2.0296,1.0525,0.14,-2.764,,
chr4,PF3D7_0426000,71.2016,56.7221,4.1709,3.7795,4.6196,2.4602,,,,
chr5,PF3D7_0500100,56.8658,95.7502,12.4543,15.4876,10.7084,5.1209,1,-1.546,,
chr5,PF3D7_0500200,,,,,,,0.143,-3.421,,
chr5,PF3D7_0500300,,,,,,,0.271,-2.525,,
chr5,PF3D7_0500400,27.0516,21.7015,1.0058,18.4565,0,1.7564,0.282,-2.591,,
chr5,PF3D7_0500500,22.3514,8.6937,1.2088,0,3.2566,0.8444,0.647,-2.263,,
chr5,PF3D7_0500600,,,,,,,0.861,-2.215,,
chr5,PF3D7_0500700,,,,,,,0.998,-1.921,,
chr5,PF3D7_0500800,138.059,2064.4819,1127.2285,21.6213,87.0214,32.3507,1,-1.237,93,4
chr5,PF3D7_0500900,23.292,5.5751,50.363,60.8492,10.7685,5.7701,0.584,-3.095,195,12
chr5,PF3D7_0501000,159.1041,1317.9328,381.5434,22.6254,183.7758,18.6945,0.979,-0.91,77,11
chr5,PF3D7_0501100,22.1301,17.2153,4.3417,0,2.8299,2.6414,0.166,-2.499,60,6
chr5,PF3D7_0501100,0,0,0,0,0,0,0.166,-2.499,60,6
chr5,PF3D7_0501200,110.773,1756.6075,663.9781,56.5723,9.9281,3.1798,0.988,-2.573,151,20
chr5,PF3D7_0501300,8809.867,3825.015,439.2982,117.3331,111.9472,16.3538,1,-1.196,285,43
chr5,PF3D7_0501400,4967.4107,202.5132,343.7206,159.4736,47.7641,8.4988,1,-0.032,31,1
chr5,PF3D7_0501500,26.4996,1.1893,172.8052,588.445,4.0838,8.2588,0.999,-2.948,60,7
chr5,PF3D7_0501600,21.0501,3.9697,396.1749,495.169,5.1117,9.0123,0.13,-3.205,57,17
chr5,PF3D7_0501700,25.346,0.7303,2.2338,3.4159,5.642,17.5539,1,-1.314,213,16
chr5,PF3D7_0501800,18.7827,27.6846,187.7504,52.7582,22.1815,33.0686,0.168,-2.708,428,27
chr5,PF3D7_0501900,17.4317,13.9371,36.5838,18.7941,48.504,77.0644,1,-2.59,99,8
chr5,PF3D7_0502000,43.1188,44.3244,44.3666,14.4091,14.9851,37.481,0.154,-3.264,511,23
chr5,PF3D7_0502100,85.5655,24.3522,43.1435,26.5789,52.2629,121.6282,0.127,-2.998,103,9
chr5,PF3D7_0502200,29.9166,43.0384,57.2932,23.8596,35.4684,69.3107,0.137,-2.922,184,8
chr5,PF3D7_0502300,15.8765,1.6109,2.4639,1.6745,61.9547,1581.6519,0.943,-2.528,115,2
chr5,PF3D7_0502400,607.5033,97.2197,36.7958,6.1661,92.6811,81.1553,1,0.666,584,23
chr5,PF3D7_0502500,11.2759,1.462,2.6087,1.5196,7.0281,16.1394,0.128,-2.943,283,11
chr5,PF3D7_0502600,28.3735,20.9461,25.147,4.2141,13.4569,43.6727,0.944,-2.951,742,17
chr5,PF3D7_0502700,24.0625,15.5988,25.4486,1.6214,5.3563,15.8318,0.921,-2.769,101,3
chr5,PF3D7_0502800,24.216,17.8961,6.4828,0,34.9304,114.2129,0.423,-2.99,47,2
chr5,PF3D7_0502900,40.0922,139.6977,179.379,103.336,714.1862,629.6108,0.182,-2.777,14,2
chr5,PF3D7_0503000,20.5502,68.177,367.4807,165.6834,401.0482,1610.9537,0.12,-2.854,80,3
chr5,PF3D7_0503100,19.8238,20.8187,50.4162,14.4269,7.5459,26.3605,0.17,-3.264,376,20
chr5,PF3D7_0503200,49.1409,33.8998,81.0832,32.9884,15.6033,216.2742,0.141,-3.285,682,34
chr5,PF3D7_0503300,250.8899,415.952,201.6182,51.2788,35.2677,23.3279,0.866,-2.989,62,3
chr5,PF3D7_0503400,32.8094,112.3009,1222.5832,1101.3331,1316.2523,399.2977,0.121,-3.113,3,1
chr5,PF3D7_0503500,16.2059,14.5843,19.4709,9.2501,14.5146,59.4198,1,-0.289,493,15
chr5,PF3D7_0503600,22.7034,4.3657,45.5269,35.2727,7.9725,34.0269,0.99,-2.544,205,9
chr5,PF3D7_0503800,186.2615,988.6705,419.7373,89.4104,572.2624,355.5467,0.122,0,11,2
chr5,PF3D7_0503900,8.4485,14.4589,12.6656,8.1979,9.2076,6.0384,0.66,-3.021,239,17
chr5,PF3D7_0504000,23.2132,129.2075,132.9373,37.2175,6.0938,13.0278,0.149,-2.822,1120,27
chr5,PF3D7_0504100,9.541,7.4221,31.7854,29.317,28.0346,137.7073,0.229,-2.856,44,3
chr5,PF3D7_0504200,10.5142,45.6669,122.2314,640.8324,289.281,193.1505,0.142,-2.793,177,10
chr5,PF3D7_0504300,10.7698,1.9334,16.2638,2.0097,78.3381,185.5529,0.965,-2.539,109,4
chr5,PF3D7_0504400,23.8344,22.3181,206.9107,50.3236,10.6111,32.2805,0.119,-2.91,273,18
chr5,PF3D7_0504500,8.9026,0.4617,4.2369,4.3193,618.7712,3552.6624,1,2.161,55,4
chr5,PF3D7_0504600,25.0155,3.892,273.4534,403.5475,168.8918,51.1956,0.999,-1.662,44,2
chr5,PF3D7_0504700,20.5032,5.2058,13.5527,2.0724,22.9343,73.0116,1,-2.667,0,0
chr5,PF3D7_0504800,25.8975,4.4381,95.6044,48.9836,15.6164,64.8624,0.985,-2.72,1020,12
chr5,PF3D7_0504900,39.1614,12.1857,215.7907,93.8121,2399.5826,762.4031,1,0.833,16,2
chr5,PF3D7_0505000,71.2915,176.3854,30.9931,5.8841,25.5227,58.4607,0.179,-2.825,551,6
chr5,PF3D7_0505100,56.0979,102.1863,115.7222,91.9352,17.7588,30.6515,0.239,-2.679,821,13
chr5,PF3D7_0505200,22.3417,37.0268,59.2322,53.0192,7.0058,25.2281,0.848,-2.884,233,6
chr5,PF3D7_0505300,4.9725,0.3223,9.614,4.0208,3.6527,3.2716,0.984,-1.055,190,8
chr5,PF3D7_0505400,19.2869,18.6156,109.0015,87.5091,13.4523,40.0728,0.137,-2.905,187,6
chr5,PF3D7_0505500,26.6402,35.6245,301.5117,100.4093,18.8784,17.3829,0.696,-2.407,252,13
chr5,PF3D7_0505600,47.3415,35.6202,74.7951,20.7094,57.8394,781.7378,0.252,-2.721,145,4
chr5,PF3D7_0505700,77.8111,73.4683,157.0681,68.4427,24.0376,32.0871,1,1.421,390,17
chr5,PF3D7_0505800,631.8458,713.9538,828.7759,512.0144,1903.9152,359.8247,0.143,-2.803,7,1
chr5,PF3D7_0505900,46.6122,65.0939,166.0442,39.5078,610.2528,161.256,0.808,-2.634,32,1
chr5,PF3D7_0506000,97.2991,46.9068,32.6104,16.622,95.5429,183.083,0.15,-3.387,96,4
chr5,PF3D7_0506100,87.7896,64.3646,36.2811,4.7116,124.5155,404.0285,0.366,-3.407,46,2
chr5,PF3D7_0506200,31.7445,27.2273,30.0221,3.9491,53.4868,179.9418,0.175,-2.784,120,9
chr5,PF3D7_0506300,33.2893,32.2382,59.4117,18.1286,16.8771,44.0402,0.165,-3.308,177,10
chr5,PF3D7_0506400,8.0272,0.6938,6.8978,2.1636,125.0806,1048.1401,0.126,-3.113,36,2
chr5,PF3D7_0506500,22.3691,62.4067,44.2783,18.3482,16.4427,56.8754,1,-1.284,684,6
chr5,PF3D7_0506600,,,,,,,0.856,-2.229,,
chr5,PF3D7_0506700,105.5047,294.0288,577.7771,1035.8177,35.0146,56.832,0.126,-2.927,522,21
chr5,PF3D7_0506800,145.6038,96.7416,90.0282,39.3745,16.6414,35.0134,1,-1.502,453,18
