QueryIsoform	QueryID	TargetID	Identity	Coverage	QueryLength	MisMatch	Gaps	Evalue	BitScore	ManualScore
PF3D7_0630900.1-p1	PF3D7_0630900	sp|Q9NVP1|DDX18_HUMAN	56.293	437	601	188	2	0	529	4093.18485856905
PF3D7_0703100.1-p1	PF3D7_0703100	sp|Q9Y3D0|CIA2B_HUMAN	42.771	166	180	79	3	1.06E-44	146	3944.43666666667
PF3D7_0703500.1-p1	PF3D7_0703500	sp|Q92900|RENT1_HUMAN	33.846	455	2299	260	16	2.46E-59	226	669.853414528056
PF3D7_0704200.1-p1	PF3D7_0704200	sp|Q08J23|NSUN2_HUMAN	34.737	285	1193	138	8	4.03E-44	173	829.844509639564
PF3D7_0704300.1-p1	PF3D7_0704300	sp|Q9P2E9|RRBP1_HUMAN	33.929	112	1852	69	1	0.00000000597	62.4	205.186177105832
PF3D7_0704500.1-p1	PF3D7_0704500	tr|C9IYV2|C9IYV2_HUMAN	26.344	186	1603	128	5	5.26E-14	74.7	305.675857766687
PF3D7_0704600.1-p1	PF3D7_0704600	tr|A0A994J4S0|A0A994J4S0_HUMAN	36.333	300	3893	159	8	1.23E-41	166	279.987156434626
PF3D7_0704900.1-p1	PF3D7_0704900	tr|X6RKB4|X6RKB4_HUMAN	35.252	139	372	78	5	1.91E-12	67.4	1317.21182795699
PF3D7_0705000.1-p1	PF3D7_0705000	sp|O43148|MCES_HUMAN	24.091	220	1213	143	6	0.000000112	57	436.934872217642
PF3D7_0705300.1-p1	PF3D7_0705300	sp|Q13416|ORC2_HUMAN	27.097	310	825	196	7	2.01E-16	84.3	1018.1903030303
PF3D7_0705400.1-p1	PF3D7_0705400	tr|C9J8M6|C9J8M6_HUMAN	42.925	629	821	322	11	1.13E-155	469	3288.65103532278
PF3D7_0705500.1-p1	PF3D7_0705500	tr|J3KQV8|J3KQV8_HUMAN	34.615	286	2814	140	8	8.41E-35	148	351.808457711443
PF3D7_0705600.1-p1	PF3D7_0705600	sp|O15523|DDX3Y_HUMAN	30.4	125	1132	82	2	1.75E-13	75.9	335.689045936396
PF3D7_0705700.1-p1	PF3D7_0705700	sp|P62273|RS29_HUMAN	68.889	45	54	14	0	1.26E-18	71.6	5740.75
PF3D7_0705800.1-p1	PF3D7_0705800	tr|I3L0A1|I3L0A1_HUMAN	23.577	123	193	84	3	0.00000587	45.8	1502.57564766839
PF3D7_0705900.1-p1	PF3D7_0705900	sp|P05496|AT5G1_HUMAN	33.333	72	166	48	0	4.12E-11	58.5	1445.7686746988
PF3D7_0706000.1-p1	PF3D7_0706000	sp|O95373|IPO7_HUMAN	21.317	638	1229	433	21	2.98E-15	82.4	1106.61074043938
PF3D7_0706400.1-p1	PF3D7_0706400	sp|P61927|RL37_HUMAN	62.791	86	92	32	0	2.32E-34	114	5869.59347826087
PF3D7_0706700.1-p1	PF3D7_0706700	tr|A0A2R8Y713|A0A2R8Y713_HUMAN	32.752	803	873	442	11	5.98E-135	425	3012.58373424971
PF3D7_0707400.1-p1	PF3D7_0707400	sp|Q5T9A4|ATD3B_HUMAN	31.066	544	663	327	9	9.65E-82	272	2549.00512820513
PF3D7_0707700.1-p1	PF3D7_0707700	sp|Q9UNE7|CHIP_HUMAN	33.333	279	961	165	3	3.53E-36	140	967.732258064516
PF3D7_0707900.1-p1	PF3D7_0707900	sp|O95478|NSA2_HUMAN	61.923	260	259	98	1	6.31E-122	348	6216.20849420849
PF3D7_0708000.1-p1	PF3D7_0708000	sp|Q5QJ74|TBCEL_HUMAN	22.91	323	868	188	12	0.0000119	49.7	852.526497695853
PF3D7_0708100.1-p1	PF3D7_0708100	sp|P62875|RPAB5_HUMAN	55.224	67	69	30	0	3.84E-22	81.3	5362.33043478261
PF3D7_0708300.1-p1	PF3D7_0708300	sp|Q96S44|PRPK_HUMAN	33.333	234	229	126	4	1.74E-36	129	3406.07947598253
PF3D7_0708400.1-p1	PF3D7_0708400	sp|P07900|HS90A_HUMAN	68.009	447	745	133	2	0	617	4080.54
PF3D7_0708500.1-p1	PF3D7_0708500	sp|Q5M9Q1|NKAPL_HUMAN	49.63	135	912	67	1	1.26E-38	149	734.654605263158
PF3D7_0708800.1-p1	PF3D7_0708800	sp|P34932|HSP74_HUMAN	28.571	833	873	518	18	2E-92	311	2726.19049255441
PF3D7_0708900.1-p1	PF3D7_0708900	sp|O75880|SCO1_HUMAN	38.333	240	317	125	6	4.6E-50	169	2902.18296529968
PF3D7_0709100.1-p1	PF3D7_0709100	tr|A0A0G2JRT1|A0A0G2JRT1_HUMAN	23.316	193	1248	139	3	0.00000782	52	360.575961538462
PF3D7_0709200.1-p1	PF3D7_0709200	sp|Q86SX6|GLRX5_HUMAN	44.706	85	272	47	0	2.24E-22	91.3	1397.0625
PF3D7_0709600.1-p1	PF3D7_0709600	sp|Q99575|POP1_HUMAN	24.681	235	1156	162	4	2E-12	72.8	501.733131487889
PF3D7_0710200.1-p1	PF3D7_0710200	tr|F8WB16|F8WB16_HUMAN	20.319	251	2910	188	4	0.0000000144	61.6	175.260103092783
PF3D7_0710600.1-p1	PF3D7_0710600	sp|P49207|RL34_HUMAN	49.138	116	150	55	3	1.69E-29	104	3800.00533333333
PF3D7_0711000.1-p1	PF3D7_0711000	tr|A0A7I2V2Y2|A0A7I2V2Y2_HUMAN	46.377	414	1229	214	3	1.58E-123	390	1562.25207485761
PF3D7_0711400.1-p1	PF3D7_0711400	sp|O00422|SAP18_HUMAN	35	120	728	72	4	5.42E-15	73.9	576.923076923077
PF3D7_0711500.1-p1	PF3D7_0711500	sp|P18754|RCC1_HUMAN	24	400	688	233	14	2.43E-28	119	1395.3488372093
PF3D7_0713600.1-p1	PF3D7_0713600	tr|A0A8Q3SIP9|A0A8Q3SIP9_HUMAN	28.467	137	917	96	2	4.08E-10	63.5	425.29760087241
PF3D7_0714000.1-p1	PF3D7_0714000	sp|Q99880|H2B1L_HUMAN	63.333	120	123	43	1	2.51E-51	159	6178.82926829268
PF3D7_0714100.1-p1	PF3D7_0714100	sp|Q7Z4T9|CFA91_HUMAN	26.834	518	682	321	14	1.5E-40	159	2038.12492668622
PF3D7_0714300.1-p1	PF3D7_0714300	sp|Q8IZN3|ZDH14_HUMAN	36.149	296	1321	154	9	1.25E-49	185	810.000302800909
PF3D7_0714400.1-p1	PF3D7_0714400	tr|G3V361|G3V361_HUMAN	50	38	256	19	0	0.0000681	42	742.1875
PF3D7_0714500.1-p1	PF3D7_0714500	sp|O75764|TCEA3_HUMAN	38.806	134	403	70	2	4.94E-21	94.4	1290.32357320099
PF3D7_0715000.1-p1	PF3D7_0715000	sp|Q96GD0|PLPP_HUMAN	29.749	279	322	181	3	5.25E-51	171	2577.63074534162
PF3D7_0715100.1-p1	PF3D7_0715100	sp|Q99417|MYCBP_HUMAN	25	92	108	60	1	0.00000631	42.4	2129.62962962963
PF3D7_0715300.1-p1	PF3D7_0715300	sp|Q8IU85|KCC1D_HUMAN	29.749	279	517	135	7	5.53E-30	122	1605.41025145068
PF3D7_0715600.1-p1	PF3D7_0715600	tr|F8WAU4|F8WAU4_HUMAN	38.065	155	754	84	4	5.4E-23	103	782.503315649867
PF3D7_0715900.1-p1	PF3D7_0715900	sp|Q9BRI3|ZNT2_HUMAN	32.558	172	556	109	3	1.18E-33	132	1007.18992805755
PF3D7_0716000.1-p1	PF3D7_0716000	sp|P26368|U2AF2_HUMAN	28.228	333	1125	185	14	1.65E-16	84.7	835.5488
PF3D7_0716100.1-p1	PF3D7_0716100	tr|E7EW05|E7EW05_HUMAN	24.731	186	1069	134	3	1.43E-15	82.4	430.305519176801
PF3D7_0716200.1-p1	PF3D7_0716200	tr|F5H4V9|F5H4V9_HUMAN	43.023	86	832	47	1	5.56E-19	89.4	444.708894230769
PF3D7_0716600.1-p1	PF3D7_0716600	sp|Q96I15|SCLY_HUMAN	22.647	340	546	206	12	1.54E-13	73.9	1410.25274725275
PF3D7_0716800.1-p1	PF3D7_0716800	sp|Q13347|EIF3I_HUMAN	31.818	330	327	206	5	1.32E-60	197	3210.99082568807
PF3D7_0717100.1-p1	PF3D7_0717100	sp|Q9NXN4|GDAP2_HUMAN	23.611	216	912	158	5	5.57E-12	70.5	559.207894736842
PF3D7_0717200.1-p1	PF3D7_0717200	sp|Q8IXT5|RB12B_HUMAN	21.875	96	431	72	1	0.0000309	47.4	487.238979118329
PF3D7_0717300.1-p1	PF3D7_0717300	sp|P29083|T2EA_HUMAN	26.316	152	392	102	6	0.000000012	57.8	1020.41632653061
PF3D7_0717400.1-p1	PF3D7_0717400	sp|Q9BXR0|TGT_HUMAN	39.921	253	751	144	2	1.53E-63	218	1344.87523302264
PF3D7_0717500.1-p1	PF3D7_0717500	tr|A0A8V8TPM4|A0A8V8TPM4_HUMAN	36.254	331	528	195	7	1.35E-66	219	2272.74128787879
PF3D7_0717700.1-p1	PF3D7_0717700	tr|Q5T5C7|Q5T5C7_HUMAN	40.845	568	539	231	12	7.72E-131	392	4304.25974025974
PF3D7_0718000.1-p1	PF3D7_0718000	sp|Q9P2D7|DYH1_HUMAN	19.665	1312	5846	905	28	9.69E-51	202	441.335614095108
PF3D7_0718300.1-p1	PF3D7_0718300	sp|Q9H1U4|MEGF9_HUMAN	24.153	236	2543	114	10	0.000000937	55.5	224.148957923712
PF3D7_0718500.1-p1	PF3D7_0718500	sp|P61758|PFD3_HUMAN	36.025	161	192	98	2	1E-30	112	3020.84635416667
PF3D7_0719200.1-p1	PF3D7_0719200	sp|P51957|NEK4_HUMAN	42.066	271	310	152	4	2E-68	229	3677.38258064516
PF3D7_0719300.1-p1	PF3D7_0719300	tr|G3V1Y1|G3V1Y1_HUMAN	34.646	127	1032	72	2	2.69E-18	88.2	426.360658914729
PF3D7_0719500.1-p1	PF3D7_0719500	sp|Q3MIR4|CC50B_HUMAN	30.581	327	471	196	10	6.75E-40	147	2123.13949044586
PF3D7_0719600.1-p1	PF3D7_0719600	sp|P62913|RL11_HUMAN	67.836	171	173	55	0	8.41E-87	253	6705.17687861272
PF3D7_0719700.1-p1	PF3D7_0719700	sp|P46783|RS10_HUMAN	58.511	94	137	36	1	6.92E-36	122	4014.62335766423
PF3D7_0720000.1-p1	PF3D7_0720000	sp|Q9Y3B2|EXOS1_HUMAN	32.778	180	195	119	2	1.17E-20	85.9	3025.66153846154
PF3D7_0720100.1-p1	PF3D7_0720100	sp|Q9ULW3|ABT1_HUMAN	27.891	147	255	101	3	2.46E-14	71.6	1607.83411764706
PF3D7_0720400.1-p1	PF3D7_0720400	sp|Q96NN9|AIFM3_HUMAN	30.624	529	642	338	10	2.73E-91	295	2523.37943925234
PF3D7_0720700.1-p1	PF3D7_0720700	tr|E5RK28|E5RK28_HUMAN	27.344	128	2166	84	4	0.0000917	45.4	161.589658356417
PF3D7_0720800.1-p1	PF3D7_0720800	sp|Q9BY32|ITPA_HUMAN	34.392	189	198	109	4	1.16E-34	122	3282.87272727273
PF3D7_0721000.1-p1	PF3D7_0721000	sp|Q5T870|PRR9_HUMAN	24.286	70	3459	49	1	0.0000012	50.8	49.1477305579647
PF3D7_0721300.1-p1	PF3D7_0721300	tr|A0AAK2PNZ4|A0AAK2PNZ4_HUMAN	45.614	171	899	89	2	4.67E-39	152	867.630033370411
PF3D7_0721600.1-p1	PF3D7_0721600	sp|P46782|RS5_HUMAN	74.869	191	195	48	0	6.14E-106	303	7333.32256410256
PF3D7_0722100.1-p1	PF3D7_0722100	sp|Q9BRX2|PELO_HUMAN	36.504	389	403	241	4	5.12E-86	267	3523.58709677419
PF3D7_0722300.1-p1	PF3D7_0722300	sp|Q7Z569|BRAP_HUMAN	37.288	59	1221	37	0	0.00000000166	63.2	180.179524979525
PF3D7_0722400.1-p1	PF3D7_0722400	sp|Q9NTK5|OLA1_HUMAN	53.25	400	393	175	7	8.65E-142	409	5419.84732824428
PF3D7_0722500.1-p1	PF3D7_0722500	sp|Q9P013|CWC15_HUMAN	42.574	101	291	52	3	5.76E-14	70.9	1477.65429553265
PF3D7_0722600.1-p1	PF3D7_0722600	sp|O15213|WDR46_HUMAN	33.071	381	602	243	7	3E-72	244	2093.03172757475
PF3D7_0723000.1-p1	PF3D7_0723000	sp|Q9NWX6|THG1_HUMAN	46.667	225	299	115	2	1.26E-73	229	3511.73076923077
PF3D7_0723500.1-p1	PF3D7_0723500	sp|Q9BTE1|DCTN5_HUMAN	34.574	188	226	106	2	1.45E-38	132	2876.06725663717
PF3D7_0723700.1-p1	PF3D7_0723700	sp|Q9H777|RNZ1_HUMAN	28.525	305	1032	170	10	1.1E-27	117	843.035368217054
PF3D7_0723800.1-p1	PF3D7_0723800	sp|Q969E4|TCAL3_HUMAN	34.109	129	2190	81	2	0.00000000175	60.8	200.91602739726
PF3D7_0724000.1-p1	PF3D7_0724000	sp|Q8TEA7|TBCK_HUMAN	30.12	166	1936	102	4	0.00000000959	61.6	258.260330578512
PF3D7_0724100.1-p1	PF3D7_0724100	sp|Q4G0P3|HYDIN_HUMAN	21.466	191	1003	131	4	0.0000331	49.3	408.774277168495
PF3D7_0724200.1-p1	PF3D7_0724200	sp|P78318|IGBP1_HUMAN	22.693	401	427	201	15	0.00000000493	58.5	2131.1224824356
PF3D7_0724300.1-p1	PF3D7_0724300	sp|Q9NZJ6|COQ3_HUMAN	26.198	313	334	163	11	3.34E-20	91.3	2455.08203592814
PF3D7_0724400.1-p1	PF3D7_0724400	sp|Q96DA6|TIM14_HUMAN	63.793	58	115	21	0	9.85E-22	83.6	3217.38608695652
PF3D7_0724800.1-p1	PF3D7_0724800	tr|F5H1J3|F5H1J3_HUMAN	27.542	236	425	152	5	1.46E-24	107	1529.39105882353
PF3D7_0724900.1-p1	PF3D7_0724900	tr|E7ERX9|E7ERX9_HUMAN	32.624	282	1897	145	9	2.06E-27	122	484.9745914602
PF3D7_0725000.1-p1	PF3D7_0725000	sp|Q9UQ84|EXO1_HUMAN	36.181	199	1347	123	1	6.02E-35	145	534.522568671121
PF3D7_0725200.1-p1	PF3D7_0725200	sp|Q96A72|MGN2_HUMAN	70.27	148	148	44	0	6.5E-74	218	7027
PF3D7_0726200.1-p1	PF3D7_0726200	sp|Q86VQ3|TXND2_HUMAN	32.821	195	845	105	8	5.24E-14	76.6	757.407692307692
PF3D7_0726300.1-p1	PF3D7_0726300	tr|A0A8V8TNR7|A0A8V8TNR7_HUMAN	38.983	354	1330	191	5	7.89E-75	259	1037.59263157895
PF3D7_0726500.1-p1	PF3D7_0726500	tr|H3BND8|H3BND8_HUMAN	36.28	328	3183	191	3	1.09E-59	225	373.856110587496
PF3D7_0726800.1-p1	PF3D7_0726800	sp|P61803|DAD1_HUMAN	27.358	106	107	73	3	0.0000451	40.4	2710.23177570093
PF3D7_0726900.1-p1	PF3D7_0726900	sp|Q3ZCQ8|TIM50_HUMAN	32.474	194	519	123	4	3.54E-19	90.1	1213.86435452794
PF3D7_0727000.1-p1	PF3D7_0727000	tr|A0A7P0TB80|A0A7P0TB80_HUMAN	34.4	125	1162	79	3	4.48E-14	77	370.051635111876
PF3D7_0727200.1-p1	PF3D7_0727200	sp|Q9Y697|NFS1_HUMAN	50.843	415	553	199	3	1.94E-153	448	3815.52350813743
PF3D7_0727300.1-p1	PF3D7_0727300	sp|O14717|TRDMT_HUMAN	44.444	81	706	42	2	1.16E-13	74.3	509.909915014164
PF3D7_0727400.1-p1	PF3D7_0727400	sp|P28066|PSA5_HUMAN	54.357	241	256	107	2	2.73E-90	267	5117.201953125
PF3D7_0727800.1-p1	PF3D7_0727800	sp|Q9HD20|AT131_HUMAN	32.524	412	1918	222	10	1.91E-54	210	698.6385818561
PF3D7_0728000.1-p1	PF3D7_0728000	sp|P05198|IF2A_HUMAN	49.669	302	329	138	6	4.59E-95	285	4559.2820668693
PF3D7_0728200.1-p1	PF3D7_0728200	tr|V9GYX7|V9GYX7_HUMAN	20.601	233	552	160	6	0.000000534	52.8	869.571195652174
PF3D7_0728600.1-p1	PF3D7_0728600	sp|Q9H871|RMD5A_HUMAN	28.244	131	2162	64	3	0.00000000195	63.2	171.136170212766
PF3D7_0728700.1-p1	PF3D7_0728700	tr|A0A7I2YQW9|A0A7I2YQW9_HUMAN	32	175	720	101	7	1.54E-14	75.9	777.777777777778
PF3D7_0728900.1-p1	PF3D7_0728900	sp|O43719|HTSF1_HUMAN	27.273	231	492	157	4	4.44E-21	97.8	1280.5006097561
PF3D7_0729000.1-p1	PF3D7_0729000	sp|P49458|SRP09_HUMAN	30.303	66	103	46	0	0.00000103	43.9	1941.74563106796
PF3D7_0729100.1-p1	PF3D7_0729100	sp|Q8N6M5|ALLC_HUMAN	25.781	256	2580	169	7	7.81E-18	89.4	255.811472868217
PF3D7_0729200.1-p1	PF3D7_0729200	sp|P30044|PRDX5_HUMAN	29.114	158	240	94	5	2.06E-17	79	1916.67166666667
PF3D7_0729300.1-p1	PF3D7_0729300	sp|Q96D46|NMD3_HUMAN	35.202	321	888	202	5	1.16E-58	210	1272.50472972973
PF3D7_0729400.1-p1	PF3D7_0729400	sp|Q8TDN6|BRX1_HUMAN	40.465	215	416	118	2	1.29E-47	167	2091.34014423077
PF3D7_0729500.1-p1	PF3D7_0729500	sp|Q86U44|MTA70_HUMAN	52.907	344	760	151	5	9.53E-132	404	2394.73789473684
PF3D7_0729800.1-p1	PF3D7_0729800	sp|Q96FJ2|DYL2_HUMAN	44.444	36	97	20	0	0.0000121	41.2	1649.46804123711
PF3D7_0729900.1-p1	PF3D7_0729900	tr|A0A7P0T9F1|A0A7P0T9F1_HUMAN	39.45	2436	5065	1258	32	0	1776	1897.3385982231
PF3D7_0730100.1-p1	PF3D7_0730100	tr|E7EUH7|E7EUH7_HUMAN	35.542	166	868	99	3	5.58E-21	97.8	679.720276497696
PF3D7_0730200.1-p1	PF3D7_0730200	sp|Q9Y6B7|AP4B1_HUMAN	31.926	592	858	381	9	7.95E-98	322	2202.81958041958
PF3D7_0731600.1-p1	PF3D7_0731600	tr|A0A494BZW8|A0A494BZW8_HUMAN	23.715	603	811	362	15	1.73E-47	180	1763.27311960543
PF3D7_0801500.1-p1	PF3D7_0801500	tr|A0A8Q3SHT6|A0A8Q3SHT6_HUMAN	34.12	551	549	288	12	1.26E-92	295	3424.42987249545
PF3D7_0801700.1-p1	PF3D7_0801700	tr|J3QT09|J3QT09_HUMAN	28.814	118	1784	65	6	0.00000282	53.5	190.585874439462
PF3D7_0801800.1-p1	PF3D7_0801800	tr|F5GX71|F5GX71_HUMAN	34.146	82	1011	54	0	0.00000000134	62.4	276.950741839763
PF3D7_0801900.1-p1	PF3D7_0801900	tr|C9JG08|C9JG08_HUMAN	21.6	125	4662	97	1	0.0000000369	61.6	57.9150579150579
PF3D7_0802200.1-p1	PF3D7_0802200	sp|P30041|PRDX6_HUMAN	49.537	216	220	104	2	2.32E-67	207	4863.63272727273
PF3D7_0802300.1-p1	PF3D7_0802300	sp|Q15269|PWP2_HUMAN	25.693	685	1121	378	16	3.51E-69	251	1570.00044603033
PF3D7_0802500.1-p1	PF3D7_0802500	tr|A0A6Q8PFJ3|A0A6Q8PFJ3_HUMAN	29.472	587	1419	333	17	1.64E-59	219	1219.17293868922
PF3D7_0802600.1-p1	PF3D7_0802600	sp|Q96PN6|ADCYA_HUMAN	32.895	152	2279	96	5	6E-13	76.3	219.396226415094
PF3D7_0802800.1-p1	PF3D7_0802800	sp|P48454|PP2BC_HUMAN	52.591	386	604	174	3	3.69E-140	418	3360.94801324503
PF3D7_0803000.1-p1	PF3D7_0803000	sp|Q08752|PPID_HUMAN	25.116	215	677	116	4	5.11E-10	62.8	797.62776957164
PF3D7_0803100.1-p1	PF3D7_0803100	sp|Q14152|EIF3A_HUMAN	25	124	1245	93	0	0.000000039	59.3	248.995983935743
PF3D7_0803300.1-p1	PF3D7_0803300	sp|Q9BRX9|WDR83_HUMAN	30.242	248	365	162	5	3.35E-33	126	2054.79890410959
PF3D7_0803400.1-p1	PF3D7_0803400	sp|Q92698|RAD54_HUMAN	37.871	404	1239	224	7	9.1E-79	276	1234.85746569814
PF3D7_0803500.1-p1	PF3D7_0803500	tr|A0A8I5KYF5|A0A8I5KYF5_HUMAN	43.478	115	1467	62	2	3.29E-22	103	340.829584185412
PF3D7_0803600.1-p1	PF3D7_0803600	tr|E9PRD6|E9PRD6_HUMAN	29.348	92	1599	61	2	0.0000000311	59.3	168.856535334584
PF3D7_0803700.1-p1	PF3D7_0803700	sp|P23258|TBG1_HUMAN	64.967	451	452	149	3	0	619	6482.32676991151
PF3D7_0803800.1-p1	PF3D7_0803800	sp|P28070|PSB4_HUMAN	36.287	237	265	111	4	1.47E-48	162	3245.29018867925
PF3D7_0804000.1-p1	PF3D7_0804000	tr|K7ENY9|K7ENY9_HUMAN	47.468	158	802	79	3	2.38E-39	148	935.155112219451
PF3D7_0804300.1-p1	PF3D7_0804300	tr|E9PGC8|E9PGC8_HUMAN	26.941	219	890	141	5	0.000000625	54.7	662.930224719101
PF3D7_0804400.1-p1	PF3D7_0804400	sp|P53582|MAP11_HUMAN	31.349	252	740	146	3	2.24E-34	136	1067.56054054054
PF3D7_0804500.1-p1	PF3D7_0804500	tr|H0YLM8|H0YLM8_HUMAN	29.114	158	6034	104	3	1.77E-13	79.7	76.2348690752403
PF3D7_0804600.1-p1	PF3D7_0804600	tr|G8JLB3|G8JLB3_HUMAN	28.09	178	556	120	6	0.0000000019	60.8	899.284172661871
PF3D7_0804800.1-p1	PF3D7_0804800	sp|O43447|PPIH_HUMAN	58.857	175	217	69	2	1.68E-75	226	4746.53225806452
PF3D7_0804900.1-p1	PF3D7_0804900	tr|E5RHC5|E5RHC5_HUMAN	32.143	196	491	114	5	5.05E-24	102	1283.10142566191
PF3D7_0805000.1-p1	PF3D7_0805000	sp|Q96GS6|AB17A_HUMAN	33.48	227	245	143	4	7.6E-44	150	3102.02448979592
PF3D7_0805400.1-p1	PF3D7_0805400	sp|Q147X3|NAA30_HUMAN	35	140	225	85	3	1.79E-19	86.3	2177.77777777778
PF3D7_0805700.1-p1	PF3D7_0805700	tr|E7EUK8|E7EUK8_HUMAN	32.955	88	1457	51	3	0.0000476	48.5	199.041866849691
PF3D7_0805900.1-p1	PF3D7_0805900	sp|Q70Z53|F10C1_HUMAN	35.088	171	249	94	3	1.25E-22	95.1	2409.6578313253
PF3D7_0806000.1-p1	PF3D7_0806000	sp|O15381|NVL_HUMAN	29.323	133	1212	88	3	1.05E-11	70.5	321.778795379538
PF3D7_0806200.1-p1	PF3D7_0806200	sp|Q2PZI1|D19L1_HUMAN	29.286	280	1018	158	6	1.99E-24	110	805.50884086444
PF3D7_0806300.1-p1	PF3D7_0806300	sp|O75923|DYSF_HUMAN	23.684	266	1704	176	8	8.23E-16	85.1	369.715023474178
PF3D7_0806400.1-p1	PF3D7_0806400	tr|A0A087WX43|A0A087WX43_HUMAN	34.783	138	177	81	1	7.08E-25	94.4	2711.89491525424
PF3D7_0806500.1-p1	PF3D7_0806500	tr|A0A7P0T9E8|A0A7P0T9E8_HUMAN	47.887	71	675	37	0	5.6E-17	79.7	503.700296296296
PF3D7_0806600.1-p1	PF3D7_0806600	tr|A0A7I2V492|A0A7I2V492_HUMAN	27.946	297	943	193	8	7.93E-23	106	880.165641569459
PF3D7_0806700.1-p1	PF3D7_0806700	sp|Q6VMQ6|MCAF1_HUMAN	24.554	224	2572	141	7	0.00000148	55.1	213.845101088647
PF3D7_0806800.1-p1	PF3D7_0806800	tr|A0A994J3Z0|A0A994J3Z0_HUMAN	30.248	767	1053	463	21	7.96E-93	317	2203.24938271605
PF3D7_0807000.1-p1	PF3D7_0807000	sp|O95619|YETS4_HUMAN	32.934	167	222	109	2	1.57E-22	92.4	2477.46756756757
PF3D7_0807100.1-p1	PF3D7_0807100	tr|A0A7P0TB94|A0A7P0TB94_HUMAN	29.861	144	1321	100	1	7.27E-16	82.8	325.509765329296
PF3D7_0807300.1-p1	PF3D7_0807300	sp|Q9NP72|RAB18_HUMAN	50	184	201	92	0	2.18E-63	196	4577.1144278607
PF3D7_0807400.1-p1	PF3D7_0807400	tr|B8ZZX2|B8ZZX2_HUMAN	26.05	119	191	82	2	2.22E-11	60.8	1623.01047120419
PF3D7_0807500.1-p1	PF3D7_0807500	sp|P60900|PSA6_HUMAN	44.231	260	260	131	2	5.95E-76	231	4423.1
PF3D7_0807600.1-p1	PF3D7_0807600	tr|S4R404|S4R404_HUMAN	26.49	151	1334	104	3	0.000071	48.1	299.849325337331
PF3D7_0807700.1-p1	PF3D7_0807700	tr|A0A3B3IU24|A0A3B3IU24_HUMAN	33.019	212	870	105	10	5.23E-13	72.8	804.60091954023
PF3D7_0807800.1-p1	PF3D7_0807800	tr|Q5VWC4|Q5VWC4_HUMAN	34.081	223	481	133	4	4.46E-35	135	1580.05467775468
PF3D7_0807900.1-p1	PF3D7_0807900	sp|P54577|SYYC_HUMAN	34.405	311	373	186	9	1.2E-34	134	2868.62064343164
PF3D7_0808000.1-p1	PF3D7_0808000	sp|Q4J6C6|PPCEL_HUMAN	25.385	130	1362	84	4	0.0000026	53.1	242.294419970631
PF3D7_0808200.1-p1	PF3D7_0808200	sp|P0DJD9|PEPA5_HUMAN	32.308	325	573	200	6	1.38E-52	185	1832.47818499127
PF3D7_0808300.1-p1	PF3D7_0808300	sp|P68543|UBX2A_HUMAN	34.392	189	238	111	7	4.78E-21	89.4	2731.12941176471
PF3D7_0808400.1-p1	PF3D7_0808400	sp|O14579|COPE_HUMAN	19.097	288	278	212	8	5.52E-11	62.8	1978.39424460432
PF3D7_0809700.1-p1	PF3D7_0809700	sp|Q9Y265|RUVB1_HUMAN	52.315	432	520	195	8	1.96E-158	459	4346.16923076923
PF3D7_0809900.1-p1	PF3D7_0809900	tr|E7EV89|E7EV89_HUMAN	40.625	96	1259	57	0	3.99E-21	100	309.769658459095
PF3D7_0810000.1-p1	PF3D7_0810000	sp|Q9BR61|ACBD6_HUMAN	43.333	60	90	34	0	7.58E-12	60.1	2888.86666666667
PF3D7_0810200.1-p1	PF3D7_0810200	sp|Q8NI60|COQ8A_HUMAN	38.681	455	940	261	5	5.71E-109	351	1872.325
PF3D7_0810300.1-p1	PF3D7_0810300	sp|O15297|PPM1D_HUMAN	29.016	193	550	108	6	1.01E-14	78.2	1018.19781818182
PF3D7_0810500.1-p1	PF3D7_0810500	sp|Q9H0C8|ILKAP_HUMAN	30.169	295	303	172	9	1.09E-31	122	2937.24587458746
PF3D7_0810600.1-p1	PF3D7_0810600	tr|A0A2R8Y5G6|A0A2R8Y5G6_HUMAN	48	475	941	217	6	6.2E-149	455	2422.95430393199
PF3D7_0811000.1-p1	PF3D7_0811000	sp|Q13618|CUL3_HUMAN	22.949	841	829	473	27	1.06E-40	161	2328.11930036188
PF3D7_0811100.1-p1	PF3D7_0811100	tr|A0A3B3IRK5|A0A3B3IRK5_HUMAN	33.113	151	540	87	4	6.48E-12	67	925.937592592593
PF3D7_0811200.1-p1	PF3D7_0811200	sp|Q8N766|EMC1_HUMAN	21.302	338	1133	224	9	5.59E-17	87.8	635.48773168579
PF3D7_0811300.1-p1	PF3D7_0811300	sp|Q9UIV1|CNOT7_HUMAN	56.061	264	1774	106	4	6.11E-99	321	834.27869222097
PF3D7_0811500.1-p1	PF3D7_0811500	sp|O60678|ANM3_HUMAN	28.052	385	912	192	9	2.23E-39	155	1184.21271929825
PF3D7_0812100.1-p1	PF3D7_0812100	sp|Q14997|PSME4_HUMAN	26.341	205	2651	126	9	0.0000000111	62.4	203.693134666164
PF3D7_0812200.1-p1	PF3D7_0812200	sp|O43464|HTRA2_HUMAN	26.619	278	404	172	10	1.39E-16	82.4	1831.70346534653
