Chr,Gene,MIS,MFS
chr4,PF3D7_0401500,0.42,-2.547
chr4,PF3D7_0401600,0.962,-2.624
chr4,PF3D7_0401700,0.957,-2.627
chr4,PF3D7_0401800,0.837,-2.347
chr4,PF3D7_0401900,1,-0.574
chr4,PF3D7_0402000,0.202,-2.787
chr4,PF3D7_0402100,1,-0.876
chr4,PF3D7_0402200,1,0.291
chr4,PF3D7_0402300,1,-2.533
chr4,PF3D7_0402400,0.813,-2.989
chr4,PF3D7_0402500,0.177,-2.846
chr4,PF3D7_0402600,1,-1.57
chr4,PF3D7_0402700,1,-0.852
chr4,PF3D7_0402800,1,-2.199
chr4,PF3D7_0402900,0.202,0.236
chr4,PF3D7_0403100,0.141,-2.908
chr4,PF3D7_0403200,1,-0.513
chr4,PF3D7_0403300,0.165,-3.237
chr4,PF3D7_0403400,0.936,-2.787
chr4,PF3D7_0403500,0.197,-3.366
chr4,PF3D7_0403600,0.944,-1.816
chr4,PF3D7_0403700,0.979,-2.886
chr4,PF3D7_0403800,0.128,-2.948
chr4,PF3D7_0403900,1,-1.974
chr4,PF3D7_0404000,1,-1.56
chr4,PF3D7_0404100,1,-0.435
chr4,PF3D7_0404200,0.126,-3.009
chr4,PF3D7_0404300,0.999,-1.699
chr4,PF3D7_0404400,1,-1.727
chr4,PF3D7_0404500,0.123,-3.017
chr4,PF3D7_0404600,1,-1.095
chr4,PF3D7_0404700,0.166,-2.81
chr4,PF3D7_0404800,1,0.299
chr4,PF3D7_0404900,0.799,-3.133
chr4,PF3D7_0405000,0.131,-3.135
chr4,PF3D7_0405100,0.318,-2.636
chr4,PF3D7_0405200,0.513,-2.366
chr4,PF3D7_0405300,1,-0.408
chr4,PF3D7_0405400,0.17,-2.781
chr4,PF3D7_0405500,0.581,-0.532
chr4,PF3D7_0405600,0.122,-3.091
chr4,PF3D7_0405700,1,-1.317
chr4,PF3D7_0405800,0.12,-2.867
chr4,PF3D7_0405900,1,-1.636
chr4,PF3D7_0406000,0.165,-2.811
chr4,PF3D7_0406100,0.353,-2.635
chr4,PF3D7_0406200,0.158,0
chr4,PF3D7_0406400,0.592,-1.357
chr4,PF3D7_0406500,1,-1.598
chr4,PF3D7_0406600,0.126,0
chr4,PF3D7_0406700,0.119,-3.106
chr4,PF3D7_0406800,0.205,-2.7
chr4,PF3D7_0406900,1,-1.779
chr4,PF3D7_0407000,0.127,-3.118
chr4,PF3D7_0407100,0.786,-2.53
chr4,PF3D7_0407200,0.297,-2.499
chr4,PF3D7_0407300,0.119,-3.016
chr4,PF3D7_0407400,1,0.358
chr4,PF3D7_0407500,0.145,-3.036
chr4,PF3D7_0407600,1,-2.501
chr4,PF3D7_0407700,1,-1.61
chr4,PF3D7_0407800,0.22,-2.733
chr4,PF3D7_0407900,1,-1.68
chr4,PF3D7_0408000,0.418,-2.249
chr4,PF3D7_0408100,1,-1.888
chr4,PF3D7_0408200,0.196,-2.626
chr4,PF3D7_0408300,1,-1.863
chr4,PF3D7_0408400,0.127,-2.866
chr4,PF3D7_0408500,0.999,-0.586
chr4,PF3D7_0408600,1,-1.302
chr4,PF3D7_0408700,1,-1.461
chr4,PF3D7_0408800,0.892,-2.905
chr4,PF3D7_0408900,0.138,-2.739
chr4,PF3D7_0409000,1,-0.787
chr4,PF3D7_0409100,0.125,-3.04
chr4,PF3D7_0409200,0.198,-2.798
chr4,PF3D7_0409300,0.654,-3.042
chr4,PF3D7_0409400,1,-0.609
chr4,PF3D7_0409500,0.127,-2.948
chr4,PF3D7_0409600,0.434,-2.586
chr4,PF3D7_0409700,0.134,-2.626
chr4,PF3D7_0409800,0.119,-3.047
chr4,PF3D7_0409900,0.783,-2.424
chr4,PF3D7_0410000,0.859,-2.864
chr4,PF3D7_0410300,1,-2.399
chr4,PF3D7_0410400,0.154,-2.939
chr4,PF3D7_0410500,0.119,-2.819
chr4,PF3D7_0410600,0.16,-3.223
chr4,PF3D7_0410700,0.177,-2.785
chr4,PF3D7_0410800,0.131,-2.926
chr4,PF3D7_0410900,0.996,-2.419
chr4,PF3D7_0411000,1,-2.426
chr4,PF3D7_0411100,0.12,-3.056
chr4,PF3D7_0411200,0.122,-2.96
chr4,PF3D7_0411300,0.142,-3.128
chr4,PF3D7_0411400,0.146,-3.217
chr4,PF3D7_0411700,0.27,0.191
chr4,PF3D7_0411800,1,-0.235
chr4,PF3D7_0411900,0.13,-2.963
chr4,PF3D7_0412000,0.967,-2.729
chr4,PF3D7_0412100,0.385,-2.485
chr4,PF3D7_0412200,1,-1.531
chr4,PF3D7_0412300,0.98,-2.835
chr4,PF3D7_0412400,0.999,-1.817
chr4,PF3D7_0412600,0.196,-2.544
chr4,PF3D7_0412700,1,1.497
chr4,PF3D7_0412900,1,-1.74
chr4,PF3D7_0413100,1,-1.604
chr4,PF3D7_0413200,0.79,-2.403
chr4,PF3D7_0413300,0.432,-2.453
chr4,PF3D7_0413400,0.997,-2.031
chr4,PF3D7_0413500,0.119,-3.017
chr4,PF3D7_0413600,0.191,-2.71
chr4,PF3D7_0413700,0.971,-2.569
chr4,PF3D7_0413800,0.152,-3.165
chr4,PF3D7_0413900,0.121,-2.916
chr4,PF3D7_0414000,0.142,-3.134
chr4,PF3D7_0414100,0.261,-2.488
chr4,PF3D7_0414200,0.131,-3.125
chr4,PF3D7_0414300,0.59,-2.141
chr4,PF3D7_0414400,1,-0.945
chr4,PF3D7_0414500,0.992,-2.762
chr4,PF3D7_0414600,0.677,-2.209
chr4,PF3D7_0414700,0.951,-0.11
chr4,PF3D7_0414800,1,0.483
chr4,PF3D7_0414900,0.682,-2.214
chr4,PF3D7_0415000,0.158,-3.251
chr4,PF3D7_0415100,0.133,-2.806
chr4,PF3D7_0415200,1,-0.623
chr4,PF3D7_0415300,0.138,-2.825
chr4,PF3D7_0415400,0.13,-3.262
chr4,PF3D7_0415500,0.996,0
chr4,PF3D7_0415600,0.91,-2.385
chr4,PF3D7_0415700,0.122,-3
chr4,PF3D7_0415800,1,-0.641
chr4,PF3D7_0415900,0.123,-2.823
chr4,PF3D7_0416000,1,0.692
chr4,PF3D7_0416100,0.164,-2.831
chr4,PF3D7_0416200,0.431,-2.452
chr4,PF3D7_0416300,1,-2.279
chr4,PF3D7_0416400,0.401,-2.625
chr4,PF3D7_0416500,0.134,-2.987
chr4,PF3D7_0416600,0.12,-2.978
chr4,PF3D7_0416700,0.987,1.286
chr4,PF3D7_0416800,0.131,-2.831
chr4,PF3D7_0416900,0.227,-2.747
chr4,PF3D7_0417000,0.262,-2.667
chr4,PF3D7_0417100,1,0.504
chr4,PF3D7_0417200,0.125,-3.031
chr4,PF3D7_0417300,0.291,-3.298
chr4,PF3D7_0417400,0.17,-2.817
chr4,PF3D7_0417500,0.353,-2.456
chr4,PF3D7_0417600,1,-0.07
chr4,PF3D7_0417700,0.121,-2.858
chr4,PF3D7_0417800,1,-2.585
chr4,PF3D7_0417900,1,-0.805
chr4,PF3D7_0418000,1,-1.427
chr4,PF3D7_0418100,0.23,-2.648
chr4,PF3D7_0418200,0.121,-3.135
chr4,PF3D7_0418300,1,0.944
chr4,PF3D7_0418400,0.289,-0.873
chr4,PF3D7_0418500,0.12,-3.04
chr4,PF3D7_0418600,1,-2.628
chr4,PF3D7_0418700,0.119,-2.985
chr4,PF3D7_0418800,0.341,-2.465
chr4,PF3D7_0418900,0.197,-2.694
chr4,PF3D7_0419000,0.223,-2.463
chr4,PF3D7_0419100,0.143,-2.913
chr4,PF3D7_0419200,0.125,-3.136
chr4,PF3D7_0419300,0.164,-2.853
chr4,PF3D7_0419400,1,-2.128
chr4,PF3D7_0419500,1,-1.237
chr4,PF3D7_0419600,0.998,-1.968
chr4,PF3D7_0419700,0.315,-3.44
chr4,PF3D7_0419800,0.208,-3.3
chr4,PF3D7_0419900,0.12,-3.011
chr4,PF3D7_0420000,1,-1.265
chr4,PF3D7_0420100,0.125,-2.981
chr4,PF3D7_0420200,0.234,-2.64
chr4,PF3D7_0420300,0.401,-2.563
chr4,PF3D7_0420400,0.164,-2.754
chr4,PF3D7_0420500,0.962,-0.762
chr4,PF3D7_0420600,0.143,-3.265
chr4,PF3D7_0420700,1,-1.925
chr4,PF3D7_0420900,0.99,-2.016
chr4,PF3D7_0421100,0.978,-2.103
chr4,PF3D7_0421200,1,-1.609
chr4,PF3D7_0421300,1,-1.121
chr4,PF3D7_0421500,0.992,-1.183
chr4,PF3D7_0421600,1,-1.272
chr4,PF3D7_0421700,1,-0.866
chr4,PF3D7_0421800,0.119,-2.995
chr4,PF3D7_0421900,1,-2.4
chr4,PF3D7_0422000,0.22,-2.969
chr4,PF3D7_0422100,0.119,-2.978
chr4,PF3D7_0422200,1,-2.322
chr4,PF3D7_0422300,0.966,-1.974
chr4,PF3D7_0422400,0.408,-2.526
chr4,PF3D7_0422500,0.123,-2.951
chr4,PF3D7_0422600,1,1.421
chr4,PF3D7_0422700,0.134,-2.791
chr4,PF3D7_0422800,1,-0.746
chr4,PF3D7_0422900,0.121,-3.177
chr4,PF3D7_0423000,0.847,-1.845
chr4,PF3D7_0423100,0.223,-2.931
chr4,PF3D7_0423200,1,-1.349
chr4,PF3D7_0423300,0.696,-2.396
chr4,PF3D7_0423400,0.519,0
chr4,PF3D7_0423500,0.773,-2.279
chr4,PF3D7_0423600,0.126,-2.834
chr4,PF3D7_0423700,1,0
chr4,PF3D7_0423800,0.248,-2.623
chr4,PF3D7_0423900,0.46,0
chr4,PF3D7_0424000,0.999,1.309
chr4,PF3D7_0424100,0.126,-3.141
chr4,PF3D7_0424200,0.12,-2.964
chr4,PF3D7_0424300,1,-2.144
chr4,PF3D7_0424400,1,-1.171
chr4,PF3D7_0424500,1,0.533
chr4,PF3D7_0424600,0.998,-0.203
chr4,PF3D7_0424700,1,0.721
chr4,PF3D7_0424800,1,-0.216
chr4,PF3D7_0424900,0.131,-3.07
chr4,PF3D7_0425000,0.128,-2.888
chr4,PF3D7_0425100,0.866,-2.541
chr4,PF3D7_0425200,1,0.74
chr4,PF3D7_0425300,0.151,-2.715
chr4,PF3D7_0425400,0.125,-2.73
chr4,PF3D7_0425500,0.971,-1.847
chr4,PF3D7_0425600,0.143,-2.769
chr4,PF3D7_0425700,0.9,0
chr4,PF3D7_0425800,1,-1.972
chr4,PF3D7_0425900,0.14,-2.764
chr5,PF3D7_0500100,1,-1.546
chr5,PF3D7_0500200,0.143,-3.421
chr5,PF3D7_0500300,0.271,-2.525
chr5,PF3D7_0500400,0.282,-2.591
chr5,PF3D7_0500500,0.647,-2.263
chr5,PF3D7_0500600,0.861,-2.215
chr5,PF3D7_0500700,0.998,-1.921
chr5,PF3D7_0500800,1,-1.237
chr5,PF3D7_0500900,0.584,-3.095
chr5,PF3D7_0501000,0.979,-0.91
chr5,PF3D7_0501100,0.166,-2.499
chr5,PF3D7_0501200,0.988,-2.573
chr5,PF3D7_0501300,1,-1.196
chr5,PF3D7_0501400,1,-0.032
chr5,PF3D7_0501500,0.999,-2.948
chr5,PF3D7_0501600,0.13,-3.205
chr5,PF3D7_0501700,1,-1.314
chr5,PF3D7_0501800,0.168,-2.708
chr5,PF3D7_0501900,1,-2.59
chr5,PF3D7_0502000,0.154,-3.264
chr5,PF3D7_0502100,0.127,-2.998
chr5,PF3D7_0502200,0.137,-2.922
chr5,PF3D7_0502300,0.943,-2.528
chr5,PF3D7_0502400,1,0.666
chr5,PF3D7_0502500,0.128,-2.943
chr5,PF3D7_0502600,0.944,-2.951
chr5,PF3D7_0502700,0.921,-2.769
chr5,PF3D7_0502800,0.423,-2.99
chr5,PF3D7_0502900,0.182,-2.777
chr5,PF3D7_0503000,0.12,-2.854
chr5,PF3D7_0503100,0.17,-3.264
chr5,PF3D7_0503200,0.141,-3.285
chr5,PF3D7_0503300,0.866,-2.989
chr5,PF3D7_0503400,0.121,-3.113
chr5,PF3D7_0503500,1,-0.289
chr5,PF3D7_0503600,0.99,-2.544
chr5,PF3D7_0503800,0.122,0
chr5,PF3D7_0503900,0.66,-3.021
chr5,PF3D7_0504000,0.149,-2.822
chr5,PF3D7_0504100,0.229,-2.856
chr5,PF3D7_0504200,0.142,-2.793
chr5,PF3D7_0504300,0.965,-2.539
chr5,PF3D7_0504400,0.119,-2.91
chr5,PF3D7_0504500,1,2.161
chr5,PF3D7_0504600,0.999,-1.662
chr5,PF3D7_0504700,1,-2.667
chr5,PF3D7_0504800,0.985,-2.72
chr5,PF3D7_0504900,1,0.833
chr5,PF3D7_0505000,0.179,-2.825
chr5,PF3D7_0505100,0.239,-2.679
chr5,PF3D7_0505200,0.848,-2.884
chr5,PF3D7_0505300,0.984,-1.055
chr5,PF3D7_0505400,0.137,-2.905
chr5,PF3D7_0505500,0.696,-2.407
chr5,PF3D7_0505600,0.252,-2.721
chr5,PF3D7_0505700,1,1.421
chr5,PF3D7_0505800,0.143,-2.803
chr5,PF3D7_0505900,0.808,-2.634
chr5,PF3D7_0506000,0.15,-3.387
chr5,PF3D7_0506100,0.366,-3.407
chr5,PF3D7_0506200,0.175,-2.784
chr5,PF3D7_0506300,0.165,-3.308
chr5,PF3D7_0506400,0.126,-3.113
chr5,PF3D7_0506500,1,-1.284
chr5,PF3D7_0506600,0.856,-2.229
chr5,PF3D7_0506700,0.126,-2.927
chr5,PF3D7_0506800,1,-1.502
chr5,PF3D7_0506900,0.135,-3.16
chr5,PF3D7_0507000,0.119,-3.723
chr5,PF3D7_0507100,0.178,-2.643
chr5,PF3D7_0507200,1,0.379
chr5,PF3D7_0507300,1,-2.405
chr5,PF3D7_0507400,0.998,-0.799
chr5,PF3D7_0507500,0.42,-2.54
chr5,PF3D7_0507600,0.119,-3.091
chr5,PF3D7_0507700,0.12,-2.935
chr5,PF3D7_0507800,1,-1.716
chr5,PF3D7_0507900,0.226,0
chr5,PF3D7_0508000,0.12,-2.938
chr5,PF3D7_0508100,0.155,-2.708
chr5,PF3D7_0508200,0.394,-2.571
chr5,PF3D7_0508300,0.122,-3.009
chr5,PF3D7_0508400,0.194,-2.594
chr5,PF3D7_0508500,0.177,-2.704
chr5,PF3D7_0508600,1,-1.874
chr5,PF3D7_0508700,0.181,-2.754
chr5,PF3D7_0508800,0.151,-2.837
chr5,PF3D7_0508900,1,-0.647
chr5,PF3D7_0509000,0.363,0
chr5,PF3D7_0509100,0.128,-2.845
chr5,PF3D7_0509200,0.703,-2.94
chr5,PF3D7_0509300,0.213,-2.688
chr5,PF3D7_0509400,0.126,-2.929
chr5,PF3D7_0509500,0.119,-3.048
chr5,PF3D7_0509600,0.12,-3.018
chr5,PF3D7_0509700,0.125,-2.914
chr5,PF3D7_0509800,0.134,-3.011
chr5,PF3D7_0509900,0.177,-3.412
chr5,PF3D7_0510000,1,-0.587
chr5,PF3D7_0510100,0.369,-2.606
chr5,PF3D7_0510200,0.206,-2.598
chr5,PF3D7_0510300,0.177,-2.919
chr5,PF3D7_0510400,0.151,-2.816
chr5,PF3D7_0510500,0.12,-3.151
chr5,PF3D7_0510700,1,-1.251
chr5,PF3D7_0510800,0.996,-0.933
chr5,PF3D7_0511000,0.994,0.283
chr5,PF3D7_0511100,0.413,-3.168
chr5,PF3D7_0511200,1,-1.018
chr5,PF3D7_0511300,1,-2.558
chr5,PF3D7_0511400,1,-1.094
chr5,PF3D7_0511500,1,-1.927
chr5,PF3D7_0511600,0.125,-3.068
chr5,PF3D7_0511700,0.123,-3.581
chr5,PF3D7_0511800,1,0.93
chr5,PF3D7_0511900,0.191,-2.777
chr5,PF3D7_0512000,0.709,0
chr5,PF3D7_0512100,0.301,-3.471
chr5,PF3D7_0512200,0.133,-2.816
chr5,PF3D7_0512300,0.154,-2.78
chr5,PF3D7_0512400,0.142,-3.021
chr5,PF3D7_0512450,0.98,-2.956
chr5,PF3D7_0512500,0.174,-3.29
chr5,PF3D7_0512600,0.122,-3.249
chr5,PF3D7_0512700,0.214,-3.229
chr5,PF3D7_0512800,0.119,-3.039
chr5,PF3D7_0512900,0.999,0.666
chr5,PF3D7_0513000,0.127,-3.279
chr5,PF3D7_0513100,0.127,-3.081
chr5,PF3D7_0513200,0.12,-3.081
chr5,PF3D7_0513300,1,-2.123
chr5,PF3D7_0513400,0.121,-2.922
chr5,PF3D7_0513500,0.342,-3.364
chr5,PF3D7_0513600,0.132,-2.883
chr5,PF3D7_0513700,0.137,-3.141
chr5,PF3D7_0513800,0.232,-2.589
chr5,PF3D7_0513900,0.122,-2.943
chr5,PF3D7_0514000,0.925,-2.672
chr5,PF3D7_0514100,1,-1.856
chr5,PF3D7_0514200,0.981,-2.411
chr5,PF3D7_0514300,0.148,-2.8
chr5,PF3D7_0514500,1,0.596
chr5,PF3D7_0514600,0.124,-3.134
chr5,PF3D7_0514700,1,-2.145
chr5,PF3D7_0514800,0.128,-3.316
chr5,PF3D7_0514900,0.12,-3.054
chr5,PF3D7_0515000,1,-2.274
chr5,PF3D7_0515100,0.258,-2.688
chr5,PF3D7_0515200,0.302,-3.442
chr5,PF3D7_0515300,0.242,-2.674
chr5,PF3D7_0515400,1,-2.668
chr5,PF3D7_0515500,1,-0.338
chr5,PF3D7_0515600,1,-1.945
chr5,PF3D7_0515700,0.994,-1.939
chr5,PF3D7_0515800,0.165,-3.944
chr5,PF3D7_0515900,0.645,-2.94
chr5,PF3D7_0516000,0.12,-3.091
chr5,PF3D7_0516100,1,-1.696
chr5,PF3D7_0516200,0.144,-3.08
chr5,PF3D7_0516300,0.998,-2.549
chr5,PF3D7_0516400,0.151,-2.827
chr5,PF3D7_0516500,0.87,1.215
chr5,PF3D7_0516600,0.128,-3.064
chr5,PF3D7_0516700,0.613,-1.588
chr5,PF3D7_0516800,1,-1.215
chr5,PF3D7_0516900,0.979,-1.816
chr5,PF3D7_0517000,0.128,0
chr5,PF3D7_0517100,0.129,-3.189
chr5,PF3D7_0517200,0.99,-2.667
chr5,PF3D7_0517300,0.822,-2.528
chr5,PF3D7_0517400,0.123,-2.94
chr5,PF3D7_0517500,1,-1.555
chr5,PF3D7_0517600,1,-0.154
chr5,PF3D7_0517700,0.147,-2.861
chr5,PF3D7_0517800,0.237,-2.461
chr5,PF3D7_0517900,0.146,-2.923
chr5,PF3D7_0518000,1,0.42
chr5,PF3D7_0518100,1,-2.261
chr5,PF3D7_0518200,0.353,0
chr5,PF3D7_0518300,0.135,-3.04
chr5,PF3D7_0518400,1,0.493
chr5,PF3D7_0518500,0.515,-2.462
chr5,PF3D7_0518600,1,-2.345
chr5,PF3D7_0518700,1,-1.712
chr5,PF3D7_0518800,0.972,-2.538
chr5,PF3D7_0518900,0.185,-2.703
chr5,PF3D7_0519000,0.138,-3.207
chr5,PF3D7_0519100,0.282,-2.673
chr5,PF3D7_0519200,0.776,0
chr5,PF3D7_0519300,0.175,-3.179
chr5,PF3D7_0519400,0.88,-2.297
chr5,PF3D7_0519500,1,-2.086
chr5,PF3D7_0519600,0.347,-2.545
chr5,PF3D7_0519700,0.318,-2.421
chr5,PF3D7_0519800,0.459,-2.562
chr5,PF3D7_0519900,0.119,-2.945
chr5,PF3D7_0520000,0.128,-2.999
chr5,PF3D7_0520100,0.12,-3.017
chr5,PF3D7_0520200,0.122,-3.005
chr5,PF3D7_0520300,0.431,0
chr5,PF3D7_0520400,0.836,-3.049
chr5,PF3D7_0520500,0.999,-0.277
chr5,PF3D7_0520600,0.129,-3.063
chr5,PF3D7_0520700,0.999,-2.795
chr5,PF3D7_0520800,0.126,-2.898
chr5,PF3D7_0520900,0.194,-2.678
chr5,PF3D7_0521000,1,-1.355
chr5,PF3D7_0521100,1,-1.791
chr5,PF3D7_0521200,0.127,-3.168
chr5,PF3D7_0521300,1,-1.514
chr5,PF3D7_0521400,0.195,-3.297
chr5,PF3D7_0521500,0.121,-3.016
chr5,PF3D7_0521600,1,-0.993
chr5,PF3D7_0521700,1,-1.064
chr5,PF3D7_0521800,0.145,-2.685
chr5,PF3D7_0521900,1,-1.109
chr5,PF3D7_0522000,0.119,-2.964
chr5,PF3D7_0522100,0.719,-2.356
chr5,PF3D7_0522200,0.372,-0.499
chr5,PF3D7_0522300,0.178,-2.456
chr5,PF3D7_0522400,1,-2.985
chr5,PF3D7_0522500,0.129,-3.131
chr5,PF3D7_0522600,0.248,-2.62
chr5,PF3D7_0522700,0.191,-3.728
chr5,PF3D7_0522800,0.958,-1.984
chr5,PF3D7_0522900,1,-2.057
chr5,PF3D7_0523000,0.128,-2.943
chr5,PF3D7_0523100,0.133,-2.983
chr5,PF3D7_0523200,0.124,-3.115
chr5,PF3D7_0523300,0.12,-2.916
chr5,PF3D7_0523400,0.23,-2.787
chr5,PF3D7_0523500,0.994,-0.879
chr5,PF3D7_0523600,0.131,-3.406
chr5,PF3D7_0523700,0.127,-3.189
chr5,PF3D7_0523800,0.123,-3.016
chr5,PF3D7_0523900,0.399,-2.243
chr5,PF3D7_0524000,0.14,-2.943
chr5,PF3D7_0524100,0.17,-2.809
chr5,PF3D7_0524200,1,0
chr5,PF3D7_0524300,0.554,-2.445
chr5,PF3D7_0524400,0.123,-2.942
chr5,PF3D7_0524500,0.149,-3.171
chr5,PF3D7_0524600,0.123,-2.957
chr5,PF3D7_0524700,0.466,-2.532
chr5,PF3D7_0524800,1,-2.389
chr5,PF3D7_0524900,0.989,-2.918
chr5,PF3D7_0525000,0.996,-0.466
chr5,PF3D7_0525100,0.12,-2.96
chr5,PF3D7_0525200,0.128,-3.082
chr5,PF3D7_0525300,0.908,-2.321
chr5,PF3D7_0525400,1,-2.179
chr5,PF3D7_0525500,1,-2.259
chr5,PF3D7_0525600,0.125,-3.225
chr5,PF3D7_0525700,0.159,-3.504
chr5,PF3D7_0525800,0.244,-2.655
chr5,PF3D7_0525900,0.754,0
chr5,PF3D7_0526000,0.143,-2.945
chr5,PF3D7_0526100,0.148,-2.96
chr5,PF3D7_0526200,0.993,-1.737
chr5,PF3D7_0526300,0.169,-2.932
chr5,PF3D7_0526400,0.13,-3.135
chr5,PF3D7_0526500,0.12,-3.014
chr5,PF3D7_0526600,1,-1.03
chr5,PF3D7_0526700,0.793,-1.917
chr5,PF3D7_0526800,0.652,-2.449
chr5,PF3D7_0526900,0.264,-2.709
chr5,PF3D7_0527000,0.418,-2.514
chr5,PF3D7_0527100,0.146,-3.121
chr5,PF3D7_0527200,0.179,-2.737
chr5,PF3D7_0527300,1,-1.857
chr5,PF3D7_0527400,1,-0.567
chr5,PF3D7_0527500,0.784,-2.619
chr5,PF3D7_0527600,1,0.634
chr5,PF3D7_0527900,0.451,-2.737
chr5,PF3D7_0528000,0.146,-3.188
chr5,PF3D7_0528100,0.12,-2.959
chr5,PF3D7_0528200,0.128,-3.124
chr5,PF3D7_0528300,0.62,-2.418
chr5,PF3D7_0528400,0.394,-2.585
chr5,PF3D7_0528500,0.934,-2.403
chr5,PF3D7_0528600,0.149,-3.225
chr5,PF3D7_0528700,0.996,-1.833
chr5,PF3D7_0528800,0.17,-3.22
chr5,PF3D7_0528900,0.203,-2.613
chr5,PF3D7_0529000,0.12,-2.901
chr5,PF3D7_0529100,0.173,-3.487
chr5,PF3D7_0529200,0.98,-2.781
chr5,PF3D7_0529300,0.449,-2.708
chr5,PF3D7_0529400,0.175,-2.709
chr5,PF3D7_0529500,0.5,-2.461
chr5,PF3D7_0529700,0.177,-2.815
chr5,PF3D7_0529800,0.986,-2.7
chr5,PF3D7_0529900,1,-2.773
chr5,PF3D7_0530000,0.955,-2.303
chr5,PF3D7_0530100,0.12,-3.125
chr5,PF3D7_0530200,0.512,-3.138
chr5,PF3D7_0530300,1,-0.452
chr5,PF3D7_0530400,0.121,-3.034
chr5,PF3D7_0530500,1,1.423
chr5,PF3D7_0530600,0.189,-2.653
chr5,PF3D7_0530700,1,-1.009
chr5,PF3D7_0530800,1,1.343
chr5,PF3D7_0530900,0.913,-2.924
chr5,PF3D7_0531000,0.121,-3.156
chr5,PF3D7_0531100,1,-0.184
chr5,PF3D7_0531200,0.129,-2.9
chr5,PF3D7_0531300,0.229,-2.266
chr5,PF3D7_0531400,0.131,-3.207
chr5,PF3D7_0532100,0.998,-2.57
chr5,PF3D7_0532200,0.599,-2.405
chr5,PF3D7_0532300,1,0.751
chr5,PF3D7_0532400,1,-1.218
chr5,PF3D7_0532500,0.121,-3.3
chr5,PF3D7_0532600,0.121,-3.222
chr5,PF3D7_0532700,0.203,-2.772
chr5,PF3D7_0532800,1,-2.317
chr5,PF3D7_0532900,0.984,-1.988
chr5,PF3D7_0533000,0.28,-2.7
chr6,PF3D7_0600100,0.978,0
chr6,PF3D7_0600200,1,-0.779
chr6,PF3D7_0600300,0.203,-2.637
chr6,PF3D7_0600400,1,-2.601
chr6,PF3D7_0600500,0.922,-2.04
chr6,PF3D7_0600600,0.999,-1.962
chr6,PF3D7_0600700,0.995,-2.537
chr6,PF3D7_0600800,0.994,-1.981
chr6,PF3D7_0600900,1,2.109
chr6,PF3D7_0601000,0.151,-3.167
chr6,PF3D7_0601100,0.12,-2.914
chr6,PF3D7_0601200,0.668,-2.11
chr6,PF3D7_0601300,0.127,-2.831
chr6,PF3D7_0601400,1,-0.59
chr6,PF3D7_0601500,1,-1.422
chr6,PF3D7_0601600,1,-2.192
chr6,PF3D7_0601700,0.981,-2.212
chr6,PF3D7_0601900,0.32,-2.353
chr6,PF3D7_0602000,1,-2.627
chr6,PF3D7_0602100,0.122,-3.01
chr6,PF3D7_0602200,0.143,-3.003
chr6,PF3D7_0602300,0.795,-3.057
chr6,PF3D7_0602400,0.283,-2.705
chr6,PF3D7_0602500,0.158,-3.256
chr6,PF3D7_0602600,0.16,-2.899
chr6,PF3D7_0602700,1,-0.332
chr6,PF3D7_0602800,0.999,-1.838
chr6,PF3D7_0602900,0.752,-2.983
chr6,PF3D7_0603000,0.128,-2.909
chr6,PF3D7_0603100,0.129,-2.971
chr6,PF3D7_0603200,0.226,-2.638
chr6,PF3D7_0603300,0.125,-3.099
chr6,PF3D7_0603400,0.998,-2.087
chr6,PF3D7_0603500,0.63,-2.908
chr6,PF3D7_0603600,1,-1.564
chr6,PF3D7_0603700,0.137,-2.866
chr6,PF3D7_0603800,0.201,-2.712
chr6,PF3D7_0603900,1,-1.638
chr6,PF3D7_0604000,0.126,-2.946
chr6,PF3D7_0604100,0.999,-2.576
chr6,PF3D7_0604200,0.393,-3.536
chr6,PF3D7_0604300,0.998,-2.697
chr6,PF3D7_0604400,0.49,-2.574
chr6,PF3D7_0604500,1,-1.601
chr6,PF3D7_0604600,1,-0.592
chr6,PF3D7_0604700,0.12,-2.821
chr6,PF3D7_0604800,0.149,-3.198
chr6,PF3D7_0604900,0.13,-3.295
chr6,PF3D7_0605000,0.126,-2.949
chr6,PF3D7_0605100,0.597,-2.506
chr6,PF3D7_0605200,0.156,0
chr6,PF3D7_0605300,0.226,-2.708
chr6,PF3D7_0605400,0.166,-2.774
chr6,PF3D7_0605500,1,-1.207
chr6,PF3D7_0605600,1,-1.684
chr6,PF3D7_0605700,1,-2.086
chr6,PF3D7_0605800,1,-0.031
chr6,PF3D7_0605900,0.164,-2.845
chr6,PF3D7_0606000,0.96,-2.925
chr6,PF3D7_0606100,1,-0.572
chr6,PF3D7_0606200,0.153,-2.908
chr6,PF3D7_0606300,1,0.146
chr6,PF3D7_0606400,0.12,-3.026
chr6,PF3D7_0606500,1,-2.487
chr6,PF3D7_0606600,1,-1.271
chr6,PF3D7_0606700,0.12,-3.102
chr6,PF3D7_0606800,0.124,-2.931
chr6,PF3D7_0606900,0.123,-3.051
chr6,PF3D7_0607000,0.159,-2.74
chr6,PF3D7_0607100,1,-1.895
chr6,PF3D7_0607200,1,-0.102
chr6,PF3D7_0607300,0.998,-2.261
chr6,PF3D7_0607400,0.119,-3.105
chr6,PF3D7_0607500,0.127,-3.119
chr6,PF3D7_0607600,1,-1.782
