Gene,Number_of_Haplotypes,Number_of_Haplotypes_Above_25_Samples
PF3D7_0527600,217,8
PF3D7_0527900,185,8
PF3D7_0528000,29,1
PF3D7_0528100,118,8
PF3D7_0528200,71,6
PF3D7_0528300,338,13
PF3D7_0528400,125,12
PF3D7_0528500,113,4
PF3D7_0528600,51,2
PF3D7_0528700,37,4
PF3D7_0528800,292,10
PF3D7_0528900,127,3
PF3D7_0529000,130,9
PF3D7_0529100,58,3
PF3D7_0529200,220,14
PF3D7_0529300,114,5
PF3D7_0529400,843,24
PF3D7_0529500,39,2
PF3D7_0529700,158,6
PF3D7_0529800,1008,21
PF3D7_0529900,25,2
PF3D7_0530000,64,2
PF3D7_0530100,84,3
PF3D7_0530200,149,2
PF3D7_0530300,1082,20
PF3D7_0530400,1664,31
PF3D7_0530500,614,15
PF3D7_0530600,107,6
PF3D7_0530700,946,27
PF3D7_0530750,39,2
PF3D7_0530800,81,5
PF3D7_0530900,1287,25
PF3D7_0531000,433,15
PF3D7_0531100,2694,47
PF3D7_0531200,36,4
PF3D7_0531300,158,12
PF3D7_0531400,975,36
PF3D7_0531500,4,1
PF3D7_0531800,1,1
PF3D7_0532100,111,10
PF3D7_0532200,220,21
PF3D7_0532300,254,49
PF3D7_0532400,169,13
PF3D7_0532500,67,11
PF3D7_0532600,85,14
PF3D7_0601900,19,3
PF3D7_0602000,453,22
PF3D7_0602100,447,18
PF3D7_0602200,58,6
PF3D7_0602300,99,6
PF3D7_0602400,176,10
PF3D7_0602500,120,6
PF3D7_0602600,617,24
PF3D7_0602700,265,12
PF3D7_0602800,520,37
PF3D7_0602900,181,10
PF3D7_0603000,266,21
PF3D7_0603100,149,7
PF3D7_0603200,134,9
PF3D7_0603300,138,5
PF3D7_0603400,900,34
PF3D7_0603500,45,1
PF3D7_0603600,2361,56
PF3D7_0603700,103,5
PF3D7_0603800,613,34
PF3D7_0603900,122,7
PF3D7_0604000,1265,35
PF3D7_0604100,1185,20
PF3D7_0604200,15,1
PF3D7_0604300,622,22
PF3D7_0604400,68,5
PF3D7_0604500,1318,25
PF3D7_0604600,861,19
PF3D7_0604700,90,5
PF3D7_0604800,563,14
PF3D7_0604900,24,1
PF3D7_0605000,26,1
PF3D7_0605100,161,4
PF3D7_0605200,45,2
PF3D7_0605300,6,1
PF3D7_0605400,49,5
PF3D7_0605500,185,6
PF3D7_0605600,1653,38
PF3D7_0605700,145,5
PF3D7_0605800,705,17
PF3D7_0605900,17,1
PF3D7_0606000,1738,44
PF3D7_0606100,323,17
PF3D7_0606200,18,2
PF3D7_0606300,15,1
PF3D7_0606400,25,3
PF3D7_0606500,233,12
PF3D7_0606600,1391,14
PF3D7_0606700,471,14
PF3D7_0606800,48,2
PF3D7_0606900,67,1
PF3D7_0607000,131,4
PF3D7_0607100,206,6
PF3D7_0607200,85,4
PF3D7_0607300,116,3
PF3D7_0607400,71,2
PF3D7_0607500,347,17
PF3D7_0607600,382,19
PF3D7_0607700,1402,25
PF3D7_0607800,234,11
PF3D7_0607900,346,13
PF3D7_0608000,127,7
PF3D7_0608100,188,6
PF3D7_0608200,48,3
PF3D7_0608300,1478,48
PF3D7_0608310,102,6
PF3D7_0608400,38,2
PF3D7_0608500,20,2
PF3D7_0608600,114,9
PF3D7_0608700,35,1
PF3D7_0608800,30,4
PF3D7_0608900,703,18
PF3D7_0609000,2977,29
PF3D7_0609100,171,15
PF3D7_0609200,165,6
PF3D7_0609300,470,18
PF3D7_0609400,142,7
PF3D7_0609500,224,9
PF3D7_0609600,1170,48
PF3D7_0609700,1443,34
PF3D7_0609800,15,1
PF3D7_0609900,476,19
PF3D7_0610000,45,1
PF3D7_0610100,110,5
PF3D7_0610200,418,16
PF3D7_0610300,2,1
PF3D7_0610400,1,1
PF3D7_0610500,24,4
PF3D7_0610600,42,1
PF3D7_0610700,19,1
PF3D7_0610800,75,3
PF3D7_0610900,289,10
PF3D7_0611000,35,1
PF3D7_0611100,6,1
PF3D7_0611200,52,1
PF3D7_0611300,41,2
PF3D7_0611400,182,4
PF3D7_0611500,54,3
PF3D7_0611600,217,10
PF3D7_0611700,3,1
PF3D7_0611800,1159,22
PF3D7_0611900,22,1
PF3D7_0612000,23,1
PF3D7_0612100,145,7
PF3D7_0612200,1004,24
PF3D7_0612300,30,2
PF3D7_0612400,52,2
PF3D7_0612500,31,2
PF3D7_0612600,159,5
PF3D7_0612700,149,13
PF3D7_0612800,215,18
PF3D7_0612900,254,7
PF3D7_0613000,11,1
PF3D7_0613100,19,1
PF3D7_0613200,13,1
PF3D7_0613300,958,39
PF3D7_0613400,39,2
PF3D7_0613500,410,10
PF3D7_0613600,330,12
PF3D7_0613700,156,2
PF3D7_0613800,652,4
PF3D7_0613900,795,11
PF3D7_0614000,185,5
PF3D7_0614100,882,34
PF3D7_0614200,538,20
PF3D7_0614300,211,8
PF3D7_0614400,111,5
PF3D7_0614500,14,1
PF3D7_0614600,157,6
PF3D7_0614700,190,5
PF3D7_0614800,219,12
PF3D7_0614900,356,18
PF3D7_0615000,74,7
PF3D7_0615100,180,12
PF3D7_0615200,164,9
PF3D7_0615300,344,13
PF3D7_0615400,1434,8
PF3D7_0615500,122,13
PF3D7_0615600,1153,12
PF3D7_0615700,33,3
PF3D7_0615800,561,9
PF3D7_0615900,730,13
PF3D7_0616000,62,6
PF3D7_0616100,66,3
PF3D7_0616200,133,7
PF3D7_0616300,73,3
PF3D7_0616400,1598,40
PF3D7_0616500,683,23
PF3D7_0616600,366,14
PF3D7_0616700,214,8
PF3D7_0616800,61,6
PF3D7_0616900,848,29
PF3D7_0617000,66,4
PF3D7_0617100,220,11
PF3D7_0617200,68,6
PF3D7_0617300,12,2
PF3D7_0617800,2,1
PF3D7_0617900,2,1
PF3D7_0618000,264,12
PF3D7_0618100,336,12
PF3D7_0618200,45,2
PF3D7_0618300,19,1
PF3D7_0618400,276,12
PF3D7_0618500,28,3
PF3D7_0618600,65,5
PF3D7_0618700,119,3
PF3D7_0618800,431,10
PF3D7_0618900,274,10
PF3D7_0619000,675,22
PF3D7_0619100,138,6
PF3D7_0619200,659,17
PF3D7_0619300,1496,28
PF3D7_0619400,26,4
PF3D7_0619500,722,19
PF3D7_0619600,1261,67
PF3D7_0619700,194,6
PF3D7_0619800,987,16
PF3D7_0619900,29,2
PF3D7_0620000,103,8
PF3D7_0620100,19,1
PF3D7_0620200,80,4
PF3D7_0620300,407,14
PF3D7_0620400,1065,46
PF3D7_0620500,304,13
PF3D7_0620600,157,6
PF3D7_0620700,170,7
PF3D7_0620800,1,1
PF3D7_0620900,1,1
PF3D7_0621000,290,8
PF3D7_0621100,707,28
PF3D7_0621200,30,1
PF3D7_0621300,493,17
PF3D7_0621350,45,3
PF3D7_0621400,282,14
PF3D7_0621500,95,5
PF3D7_0621700,563,14
PF3D7_0621800,21,1
PF3D7_0621900,351,14
PF3D7_0622000,81,7
PF3D7_0622100,731,19
PF3D7_0622200,343,14
PF3D7_0622300,215,13
PF3D7_0622400,40,2
PF3D7_0622500,217,9
PF3D7_0622600,15,2
PF3D7_0622700,138,6
PF3D7_0622800,509,17
PF3D7_0622900,889,12
PF3D7_0623000,169,3
PF3D7_0623100,395,16
PF3D7_0623200,116,6
PF3D7_0623300,54,11
PF3D7_0623400,91,4
PF3D7_0623500,92,6
PF3D7_0623600,193,4
PF3D7_0623700,618,22
PF3D7_0623800,1853,46
PF3D7_0623900,59,4
PF3D7_0624000,16,2
PF3D7_0624100,77,1
PF3D7_0624200,180,6
PF3D7_0624300,63,5
PF3D7_0624400,308,11
PF3D7_0624500,6,2
PF3D7_0624600,688,21
PF3D7_0624700,103,4
PF3D7_0624800,469,32
PF3D7_0624900,141,4
PF3D7_0625000,45,3
PF3D7_0625100,76,8
PF3D7_0625200,208,9
PF3D7_0625300,461,10
PF3D7_0625400,165,8
PF3D7_0625500,109,3
PF3D7_0625600,86,5
PF3D7_0625700,21,1
PF3D7_0625800,355,8
PF3D7_0625900,221,17
PF3D7_0626000,998,35
PF3D7_0626100,93,3
PF3D7_0626200,222,9
PF3D7_0626300,117,5
PF3D7_0626400,404,16
PF3D7_0626500,421,10
PF3D7_0626600,47,1
PF3D7_0626700,87,2
PF3D7_0626800,22,2
PF3D7_0626900,159,4
PF3D7_0627000,59,1
PF3D7_0627100,427,16
PF3D7_0627200,63,4
PF3D7_0627300,187,11
PF3D7_0627400,32,2
PF3D7_0627500,21,3
PF3D7_0627600,185,6
PF3D7_0627700,224,8
PF3D7_0627800,473,34
PF3D7_0627900,67,3
PF3D7_0628000,22,1
PF3D7_0628100,1350,9
PF3D7_0628200,528,11
PF3D7_0628300,21,2
PF3D7_0628400,91,2
PF3D7_0628500,34,2
PF3D7_0628600,61,3
PF3D7_0628700,226,6
PF3D7_0628800,160,8
PF3D7_0628900,498,10
PF3D7_0629000,38,1
PF3D7_0629100,111,8
PF3D7_0629200,33,2
PF3D7_0629300,73,7
PF3D7_0629400,148,5
PF3D7_0629500,113,8
PF3D7_0629600,72,2
PF3D7_0629700,886,9
PF3D7_0629800,323,10
PF3D7_0629900,47,2
PF3D7_0630000,78,3
PF3D7_0630100,425,16
PF3D7_0630200,28,2
PF3D7_0630300,648,17
PF3D7_0630400,120,13
PF3D7_0630500,164,8
PF3D7_0630600,186,6
PF3D7_0630700,560,38
PF3D7_0630800,141,7
PF3D7_0630900,158,19
PF3D7_0701900,1227,29
PF3D7_0702000,176,31
PF3D7_0702200,104,7
PF3D7_0702300,104,12
PF3D7_0702400,30,7
PF3D7_0702500,108,15
PF3D7_0702600,36,2
PF3D7_0702800,3,1
PF3D7_0702900,44,8
PF3D7_0703000,1429,30
PF3D7_0703100,41,2
PF3D7_0703200,1816,27
PF3D7_0703300,64,4
PF3D7_0703400,628,24
PF3D7_0703500,917,20
PF3D7_0703600,46,6
PF3D7_0703700,178,7
PF3D7_0703800,332,21
PF3D7_0703900,1543,4
PF3D7_0704000,3376,38
PF3D7_0704100,1683,24
PF3D7_0704200,534,7
PF3D7_0704300,354,5
PF3D7_0704400,865,21
PF3D7_0704500,1161,24
PF3D7_0704600,2614,23
PF3D7_0704700,943,33
PF3D7_0704800,763,22
PF3D7_0704900,89,2
PF3D7_0705000,372,14
PF3D7_0705100,727,31
PF3D7_0705200,1458,51
PF3D7_0705300,243,8
PF3D7_0705400,69,5
PF3D7_0705500,1612,35
PF3D7_0705600,602,17
PF3D7_0705700,3,1
PF3D7_0705800,63,3
PF3D7_0705900,36,1
PF3D7_0706000,128,7
PF3D7_0706100,556,25
PF3D7_0706200,43,2
PF3D7_0706300,65,1
PF3D7_0706400,9,1
PF3D7_0706500,1070,32
PF3D7_0706600,490,15
PF3D7_0706700,299,8
PF3D7_0706900,1,1
PF3D7_0707200,1202,29
PF3D7_0707300,642,21
PF3D7_0707400,108,3
PF3D7_0707420,1,1
PF3D7_0707500,1196,24
PF3D7_0707600,73,3
PF3D7_0707700,241,6
PF3D7_0707800,426,14
PF3D7_0707900,51,3
PF3D7_0708000,252,8
PF3D7_0708100,6,1
PF3D7_0708200,623,36
PF3D7_0708300,68,5
PF3D7_0708400,98,9
PF3D7_0708500,466,10
PF3D7_0708600,68,1
PF3D7_0708700,52,2
PF3D7_0708800,106,1
PF3D7_0708900,109,6
PF3D7_0709000,128,22
PF3D7_0709100,860,14
PF3D7_0709200,105,11
PF3D7_0709300,613,1
PF3D7_0709400,686,19
PF3D7_0709500,29,4
PF3D7_0709600,1014,31
PF3D7_0709700,66,7
PF3D7_0709800,13,1
PF3D7_0709900,1104,20
PF3D7_0710000,3619,27
PF3D7_0710100,241,14
PF3D7_0710200,57,0
PF3D7_0710300,38,2
PF3D7_0710400,274,29
PF3D7_0710500,69,3
PF3D7_0710600,31,1
PF3D7_0710700,136,13
PF3D7_0710800,179,7
PF3D7_0710900,190,15
PF3D7_0711000,345,13
PF3D7_0711100,68,8
PF3D7_0711200,1190,78
PF3D7_0711300,42,4
PF3D7_0711400,508,38
PF3D7_0711500,273,44
PF3D7_0713100,235,45
PF3D7_0713200,186,36
PF3D7_0713400,33,5
PF3D7_0713500,984,70
PF3D7_0713600,784,65
PF3D7_0713700,41,7
PF3D7_0713800,40,5
PF3D7_0713900,2428,23
PF3D7_0714000,2,1
PF3D7_0714100,207,11
PF3D7_0714200,663,22
PF3D7_0714300,507,16
PF3D7_0714400,62,3
PF3D7_0714500,123,7
PF3D7_0714600,283,15
PF3D7_0714700,1,1
PF3D7_0715000,89,4
PF3D7_0715100,40,1
PF3D7_0715200,1005,27
PF3D7_0715300,116,3
PF3D7_0715400,51,2
PF3D7_0715500,11,1
PF3D7_0715600,96,5
PF3D7_0715700,14,2
PF3D7_0715800,196,15
PF3D7_0715900,169,7
PF3D7_0716000,678,30
PF3D7_0716100,300,9
PF3D7_0716200,472,25
PF3D7_0716300,225,32
PF3D7_0716400,22,1
PF3D7_0716500,166,7
PF3D7_0716600,140,10
PF3D7_0716700,1753,27
PF3D7_0716800,14,2
PF3D7_0716900,14,1
PF3D7_0717000,46,4
PF3D7_0717100,228,13
PF3D7_0717200,70,7
PF3D7_0717300,89,6
PF3D7_0717400,971,47
PF3D7_0717500,24,2
PF3D7_0717600,290,9
PF3D7_0717700,124,6
PF3D7_0717800,553,14
PF3D7_0717900,89,5
PF3D7_0718000,524,8
PF3D7_0718100,724,21
PF3D7_0718300,302,15
PF3D7_0718400,12,3
PF3D7_0718500,23,3
PF3D7_0718600,394,13
PF3D7_0718700,176,5
PF3D7_0718800,22,5
PF3D7_0718900,76,4
PF3D7_0719000,46,3
PF3D7_0719100,40,2
PF3D7_0719200,10,1
PF3D7_0719300,307,11
PF3D7_0719400,816,21
PF3D7_0719500,87,6
PF3D7_0719600,8,1
PF3D7_0719700,7,1
PF3D7_0719800,62,4
PF3D7_0719900,2481,25
PF3D7_0720000,52,2
PF3D7_0720100,123,3
PF3D7_0720200,32,2
PF3D7_0720300,32,2
PF3D7_0720400,136,5
PF3D7_0720500,19,1
PF3D7_0720600,34,3
PF3D7_0720700,1589,39
PF3D7_0720800,54,6
PF3D7_0720900,71,9
PF3D7_0721000,331,2
PF3D7_0721100,40,1
PF3D7_0721200,640,32
PF3D7_0721300,451,13
PF3D7_0721400,43,4
PF3D7_0721500,385,14
PF3D7_0721600,15,1
PF3D7_0721700,109,5
PF3D7_0721800,19,1
PF3D7_0721900,13,1
PF3D7_0722000,147,3
PF3D7_0722100,120,4
PF3D7_0722200,302,12
PF3D7_0722300,362,12
PF3D7_0722400,22,1
PF3D7_0722500,93,2
PF3D7_0722600,114,6
PF3D7_0722700,19,1
PF3D7_0722800,145,4
PF3D7_0722900,68,2
PF3D7_0723000,55,3
PF3D7_0723100,138,8
PF3D7_0723200,58,3
PF3D7_0723300,221,12
PF3D7_0723400,800,21
PF3D7_0723500,53,2
PF3D7_0723600,57,4
PF3D7_0723700,443,20
PF3D7_0723800,25,0
PF3D7_0723900,682,17
PF3D7_0724000,747,20
PF3D7_0724100,558,21
PF3D7_0724200,169,7
PF3D7_0724300,80,4
PF3D7_0724400,8,3
PF3D7_0724500,103,6
PF3D7_0724600,1050,20
PF3D7_0724700,1031,20
PF3D7_0724800,75,7
PF3D7_0724900,925,31
PF3D7_0725000,505,22
PF3D7_0725100,1535,16
PF3D7_0725200,12,1
PF3D7_0725300,248,10
PF3D7_0725400,19,3
PF3D7_0725800,1,1
PF3D7_0725900,3,1
PF3D7_0726050,115,4
PF3D7_0726100,285,5
PF3D7_0726200,439,14
PF3D7_0726300,160,2
PF3D7_0726400,3214,28
PF3D7_0726500,1347,31
PF3D7_0726600,348,12
PF3D7_0726700,59,2
PF3D7_0726800,26,1
PF3D7_0726900,241,11
PF3D7_0727000,847,24
PF3D7_0727100,789,27
PF3D7_0727200,280,27
PF3D7_0727300,675,25
PF3D7_0727400,31,3
PF3D7_0727500,252,10
PF3D7_0727600,1036,44
PF3D7_0727700,879,29
PF3D7_0727800,1512,43
PF3D7_0727900,1477,31
PF3D7_0728000,24,2
PF3D7_0728100,2416,18
PF3D7_0728200,235,6
PF3D7_0728300,68,1
PF3D7_0728400,62,4
PF3D7_0728500,81,4
PF3D7_0728600,868,25
PF3D7_0728700,323,11
PF3D7_0728800,272,10
PF3D7_0728900,258,16
PF3D7_0729000,38,2
PF3D7_0729100,728,19
PF3D7_0729200,47,6
PF3D7_0729300,383,16
PF3D7_0729400,233,10
PF3D7_0729500,320,21
PF3D7_0729600,36,1
PF3D7_0729700,428,15
PF3D7_0729800,18,1
PF3D7_0729900,702,22
PF3D7_0730000,23,1
PF3D7_0730100,483,15
PF3D7_0730200,258,8
PF3D7_0730300,718,36
PF3D7_0730400,11,1
PF3D7_0730500,1862,34
PF3D7_0730700,1,1
PF3D7_0730800,134,17
PF3D7_0730900,144,10
PF3D7_0731100,263,18
PF3D7_0731200,95,3
PF3D7_0731300,64,3
PF3D7_0731500,907,34
PF3D7_0731600,125,14
PF3D7_0731700,81,12
PF3D7_0731800,236,31
PF3D7_0800800,153,15
PF3D7_0801000,60,2
PF3D7_0801200,1,1
PF3D7_0801300,55,15
PF3D7_0801400,12,2
PF3D7_0801500,173,7
PF3D7_0801600,26,4
PF3D7_0801700,1246,35
PF3D7_0801800,374,10
PF3D7_0801900,500,0
PF3D7_0802000,356,11
PF3D7_0802100,1951,32
PF3D7_0802200,54,3
PF3D7_0802300,464,22
PF3D7_0802400,381,17
PF3D7_0802500,436,15
PF3D7_0802600,642,17
PF3D7_0802700,149,4
PF3D7_0802800,105,5
PF3D7_0802900,29,3
PF3D7_0803000,426,22
PF3D7_0803100,252,2
PF3D7_0803200,329,19
PF3D7_0803300,102,3
PF3D7_0803400,462,25
PF3D7_0803500,242,5
PF3D7_0803600,848,22
PF3D7_0803700,9,1
PF3D7_0803800,32,1
PF3D7_0804000,363,17
PF3D7_0804300,250,14
PF3D7_0804400,289,12
PF3D7_0804500,529,2
PF3D7_0804600,188,13
PF3D7_0804700,1030,30
PF3D7_0804800,40,2
PF3D7_0804900,221,13
PF3D7_0805000,33,2
PF3D7_0805100,124,7
PF3D7_0805200,21,3
PF3D7_0805300,508,15
PF3D7_0805400,50,2
PF3D7_0805500,332,16
PF3D7_0805600,57,6
PF3D7_0805700,453,14
PF3D7_0805800,181,12
PF3D7_0805900,78,2
PF3D7_0806000,190,6
PF3D7_0806100,1209,47
PF3D7_0806200,189,10
PF3D7_0806300,262,14
PF3D7_0806400,42,1
PF3D7_0806500,159,8
PF3D7_0806600,355,16
PF3D7_0806700,126,0
PF3D7_0806800,170,11
PF3D7_0806900,70,4
PF3D7_0807000,32,2
PF3D7_0807100,774,24
PF3D7_0807200,87,2
PF3D7_0807300,3,1
PF3D7_0807400,32,5
PF3D7_0807500,32,2
PF3D7_0807600,399,7
PF3D7_0807700,438,30
PF3D7_0807800,102,8
PF3D7_0807900,62,6
PF3D7_0808000,524,17
PF3D7_0808100,1517,41
PF3D7_0808200,103,15
PF3D7_0808300,40,3
PF3D7_0808400,69,8
PF3D7_0808450,21,3
PF3D7_0809200,1439,78
PF3D7_0809250,35,1
PF3D7_0809400,700,51
PF3D7_0809500,16,1
PF3D7_0809600,3284,33
PF3D7_0809700,76,6
PF3D7_0809800,377,21
PF3D7_0809900,486,22
PF3D7_0810000,7,2
PF3D7_0810100,21,1
PF3D7_0810200,201,14
PF3D7_0810300,77,11
PF3D7_0810400,129,8
PF3D7_0810500,34,3
PF3D7_0810600,144,10
PF3D7_0810700,16,3
PF3D7_0810800,88,18
PF3D7_0810900,20,2
PF3D7_0811000,90,6
PF3D7_0811100,48,3
PF3D7_0811200,414,35
PF3D7_0811300,334,14
PF3D7_0811400,44,2
PF3D7_0811500,278,12
PF3D7_0811600,184,21
PF3D7_0811700,291,20
PF3D7_0811800,193,16
PF3D7_0811900,335,14
PF3D7_0812000,110,9
PF3D7_0812100,645,23
PF3D7_0812200,113,5
PF3D7_0812220,38,4
PF3D7_0812300,108,6
PF3D7_0812400,9,1
PF3D7_0812500,377,16
PF3D7_0812600,12,1
PF3D7_0812700,77,7
PF3D7_0812800,9,2
PF3D7_0812900,347,25
PF3D7_0813000,146,10
PF3D7_0813100,285,10
PF3D7_0813200,82,9
PF3D7_0813300,55,5
PF3D7_0813400,171,13
PF3D7_0813500,348,17
PF3D7_0813600,123,7
PF3D7_0813700,498,24
PF3D7_0813800,38,2
PF3D7_0813900,4,1
PF3D7_0814000,32,3
PF3D7_0814100,16,2
PF3D7_0814200,27,1
PF3D7_0814300,865,36
PF3D7_0814400,209,17
PF3D7_0814500,495,19
PF3D7_0814600,48,1
PF3D7_0814700,172,19
PF3D7_0814900,23,3
PF3D7_0815000,13,1
PF3D7_0815100,696,26
PF3D7_0815200,40,3
PF3D7_0815300,417,17
PF3D7_0815400,51,2
PF3D7_0815500,165,7
PF3D7_0815600,20,1
PF3D7_0815700,128,5
PF3D7_0815800,1118,21
PF3D7_0815900,273,11
PF3D7_0816000,186,8
PF3D7_0816100,42,3
PF3D7_0816200,36,6
PF3D7_0816300,469,16
PF3D7_0816400,26,2
PF3D7_0816500,17,2
PF3D7_0816600,152,9
PF3D7_0816700,29,1
PF3D7_0816800,39,5
PF3D7_0816900,96,7
PF3D7_0817000,80,4
PF3D7_0817100,368,10
PF3D7_0817200,393,16
PF3D7_0817300,784,16
PF3D7_0817400,265,13
PF3D7_0817500,31,3
PF3D7_0817600,612,21
PF3D7_0817700,377,32
PF3D7_0817800,14,2
PF3D7_0817900,6,1
PF3D7_0818000,312,12
PF3D7_0818100,207,10
PF3D7_0818200,4,1
PF3D7_0818300,383,17
PF3D7_0818400,25,2
PF3D7_0818500,53,2
PF3D7_0818600,533,75
PF3D7_0818700,580,13
PF3D7_0818800,104,3
PF3D7_0818900,11,2
PF3D7_0819000,589,24
PF3D7_0819100,99,3
PF3D7_0819200,186,4
PF3D7_0819300,810,28
PF3D7_0819400,258,8
PF3D7_0819500,46,6
PF3D7_0819600,100,7
PF3D7_0819700,280,16
PF3D7_0819800,872,21
PF3D7_0819900,27,3
PF3D7_0820000,632,18
PF3D7_0820100,118,3
PF3D7_0820200,503,25
PF3D7_0820300,1103,36
PF3D7_0820400,271,9
PF3D7_0820500,550,18
PF3D7_0820600,125,6
PF3D7_0820700,177,9
PF3D7_0820800,284,8
PF3D7_0820900,2502,40
PF3D7_0821000,60,2
PF3D7_0821100,327,10
PF3D7_0821200,86,4
PF3D7_0821300,449,9
PF3D7_0821400,41,4
PF3D7_0821500,216,15
PF3D7_0821600,364,9
PF3D7_0821700,18,1
PF3D7_0821800,11,3
PF3D7_0821900,26,1
PF3D7_0822000,174,3
PF3D7_0822100,79,3
PF3D7_0822200,1329,36
PF3D7_0822300,9,1
PF3D7_0822400,225,10
PF3D7_0822500,51,2
PF3D7_0822600,49,8
PF3D7_0822700,957,38
PF3D7_0822800,149,3
PF3D7_0822900,810,28
PF3D7_0823000,1145,26
PF3D7_0823100,117,9
PF3D7_0823200,26,1
PF3D7_0823300,547,27
PF3D7_0823400,101,4
PF3D7_0823500,174,11
PF3D7_0823600,213,6
PF3D7_0823700,24,3
PF3D7_0823800,351,16
PF3D7_0823900,61,4
PF3D7_0824000,442,12
PF3D7_0824100,239,13
PF3D7_0824200,500,30
PF3D7_0824300,309,12
PF3D7_0824400,133,23
PF3D7_0824500,199,10
PF3D7_0824600,62,3
PF3D7_0824700,289,14
PF3D7_0824800,487,20
PF3D7_0824900,664,19
PF3D7_0825000,1372,25
PF3D7_0825100,47,1
PF3D7_0825200,41,2
PF3D7_0825300,40,1
PF3D7_0825400,33,2
PF3D7_0825500,324,7
PF3D7_0825600,27,2
PF3D7_0825700,263,18
PF3D7_0825800,241,6
PF3D7_0825900,353,14
PF3D7_0826000,863,24
PF3D7_0826100,3044,17
PF3D7_0826200,367,17
PF3D7_0826300,270,11
PF3D7_0826400,159,6
PF3D7_0826500,551,15
PF3D7_0826600,48,2
PF3D7_0826700,23,2
PF3D7_0826900,617,22
PF3D7_0827000,1452,43
PF3D7_0827100,1200,27
PF3D7_0827200,751,17
PF3D7_0827300,496,26
PF3D7_0827400,80,2
PF3D7_0827500,90,3
PF3D7_0827600,933,25
PF3D7_0827700,1184,41
PF3D7_0827800,1414,23
PF3D7_0827900,72,8
PF3D7_0828000,81,5
PF3D7_0828100,930,26
PF3D7_0828200,889,21
PF3D7_0828300,444,14
PF3D7_0828400,512,25
PF3D7_0828500,90,6
PF3D7_0828600,158,5
PF3D7_0828700,893,29
PF3D7_0828800,398,29
PF3D7_0828900,51,1
PF3D7_0829000,1052,17
PF3D7_0829100,53,1
PF3D7_0829200,9,1
PF3D7_0829300,23,2
PF3D7_0829400,184,7
PF3D7_0829500,2046,34
PF3D7_0829600,174,39
PF3D7_0829800,3,1
PF3D7_0829900,1,1
PF3D7_0830000,4,2
PF3D7_0830200,2,2
PF3D7_0830300,1003,91
PF3D7_0830400,55,3
PF3D7_0830500,584,43
PF3D7_0830600,291,20
PF3D7_0830700,64,7
PF3D7_0830800,2884,27
PF3D7_0830900,116,19
PF3D7_0831000,283,14
PF3D7_0831100,424,8
PF3D7_0831200,737,33
PF3D7_0831300,859,43
PF3D7_0831400,394,48
PF3D7_0831500,134,14
PF3D7_0831600,1554,49
PF3D7_0831700,8,1
PF3D7_0901700,127,35
PF3D7_0901800,101,18
PF3D7_0901900,165,18
PF3D7_0902000,339,41
PF3D7_0902100,193,13
PF3D7_0902200,189,13
PF3D7_0902300,162,9
PF3D7_0902400,174,16
PF3D7_0902500,368,42
PF3D7_0902600,337,33
PF3D7_0902800,469,16
PF3D7_0902900,174,46
PF3D7_0903000,65,2
PF3D7_0903100,65,3
PF3D7_0903200,10,1
PF3D7_0903300,3734,43
PF3D7_0903400,2078,68
PF3D7_0903500,1081,31
PF3D7_0903600,377,18
PF3D7_0903700,9,1
PF3D7_0903800,975,33
PF3D7_0903900,13,2
PF3D7_0904000,136,3
PF3D7_0904100,929,27
PF3D7_0904200,228,10
PF3D7_0904300,1979,42
PF3D7_0904400,38,2
PF3D7_0904500,25,1
PF3D7_0904600,1179,29
PF3D7_0904700,49,3
PF3D7_0904800,47,6
PF3D7_0904900,1985,30
PF3D7_0905000,140,4
PF3D7_0905100,794,18
PF3D7_0905200,942,27
PF3D7_0905300,1662,30
PF3D7_0905400,139,12
PF3D7_0905500,45,4
PF3D7_0905600,1197,38
PF3D7_0905700,101,6
PF3D7_0905800,1156,39
PF3D7_0905900,278,5
PF3D7_0906000,1160,19
PF3D7_0906100,28,3
PF3D7_0906200,265,9
PF3D7_0906300,272,4
PF3D7_0906400,554,15
PF3D7_0906500,202,15
PF3D7_0906600,354,16
PF3D7_0906700,483,13
PF3D7_0906800,671,21
PF3D7_0906890,71,2
PF3D7_0906910,72,9
PF3D7_0907000,34,2
PF3D7_0907100,831,21
PF3D7_0907200,933,23
PF3D7_0907300,181,6
PF3D7_0907400,407,8
PF3D7_0907500,41,1
PF3D7_0907600,577,20
PF3D7_0907700,41,4
PF3D7_0907800,108,4
PF3D7_0907900,73,3
PF3D7_0908000,202,15
PF3D7_0908100,272,9
PF3D7_0908200,941,26
PF3D7_0908300,79,2
PF3D7_0908400,132,11
PF3D7_0908500,1527,32
PF3D7_0908600,293,12
PF3D7_0908700,185,5
PF3D7_0908800,243,10
PF3D7_0908900,489,16
PF3D7_0909000,344,13
PF3D7_0909100,793,35
PF3D7_0909200,170,8
PF3D7_0909300,26,3
PF3D7_0909400,463,14
PF3D7_0909500,95,3
PF3D7_0909600,140,9
PF3D7_0909700,651,17
PF3D7_0909800,18,3
PF3D7_0909900,513,6
PF3D7_0910000,1065,30
PF3D7_0910100,137,5
PF3D7_0910200,776,0
PF3D7_0910300,150,5
PF3D7_0910400,703,21
PF3D7_0910500,1351,30
PF3D7_0910600,45,4
